,text,label,span
idx,,,
c069e221-8f6f-48af-99fe-1bda9308e8cc,"Es gibt jedoch auch einige Kritiker der These, dass das neue Coronavirus durch natürliche Mutation vom Wildtier auf den Menschen übergesprungen ist.",corona,"[90, 98]"
b7667322-2a48-4f5c-b795-1a5c891353b5,"Ganz selten passiert es aber, wie in dem Fall des aktuellen Virus Sars-CoV, dass das Virus durch eine Mutation an bestimmte Rezeptoren von menschlichen Zellen passt, zum Beispiel im Atembereich.",corona,"[102, 110]"
99d34eb4-7c3f-4393-912d-c485b5d35ba8,"Die Mutationen des Coronavirus werfen bislang mehr Fragen auf, als es Antworten gibt.",corona,"[4, 12]"
acd189c8-8d69-4261-aa03-a77eb4003bce,"Dabei passieren zufällige Fehler, sogenannte Mutationen, die oft keinen Effekt haben.",corona,"[45, 53]"
0d7e229a-1372-414b-a73f-1820da34737f,Dadurch steigt auch die Wahrscheinlichkeit für Mutationen.,corona,"[47, 55]"
a816cca5-f143-458c-bba8-ceb626739c6c,"Trotzdem könnte es für die Kontrolle über die Pandemie entscheidend sein, bestimmte Mutationen im Detail zu untersuchen – auch um den bedrohlichsten Varianten des Virus vorzubeugen: solchen etwa, die dem Virus helfen, sich dem Immunsystem, Impfstoffen oder Antikörpertherapien zu entziehen.",corona,"[84, 92]"
f6fee37d-ac6b-48f7-8671-18820b5e6994,"Wir können sagen, dass die Mutationen, die dort aufgetreten sind, keinen Hinweis darauf liefern, dass diese Mutationen zu relevanten Änderungen des Virus führen würden.",corona,"[27, 35]"
55598258-c502-4edc-989e-8ec6b291d73a,"So hatte es auch bei Ebola Hinweise gegeben, dass Viren mit einer bestimmten Mutation unter Laborbedingungen besonders viele Zellen infizieren können.",corona,"[77, 85]"
71eac223-46d5-464c-bd18-ce1d70592895,"Die Mutation, die derzeit bei US-Bürgerinnen am ehesten auftritt, unterscheidet sich bereits von der des ursprünglichen Ausbruchs in Wuhan.",corona,"[4, 12]"
b70adc9f-2ea5-4c7c-a510-4f7b0b530df0,"Das Virus sei zudem bislang stabil und es seien keine Mutationen beobachtet worden, sagte Michael Ryan, Direktor der WHO-Notfallprogramms.",corona,"[54, 62]"
693772c9-867d-4e02-9058-345e6e5a5ff4,Mutationen haben natürlich auch Auswirkungen auf Impfstoffentwicklungen - doch für eine Impfstoffart sind diese nicht drastisch.,corona,"[0, 8]"
2d64dec0-4d11-42f3-ba96-a811f75b5be9,"In China kämpfte ein Mann 49 Tage lang gegen das Coronavirus, zeigte aber nur leichte Symptone - womöglich litt er unter einer Mutation.",corona,"[127, 135]"
5772486c-1715-41a8-b1fd-7ccfd248cf9b,"Wenn diese Voraussetzung durch eine Mutation gegeben ist, können sich die Viren im Menschen vermehren.",corona,"[36, 44]"
708da4d1-a2c3-47bf-a13f-5af5a82fdb98,"Auf die Eigenschaften des Virus, etwa seine Aggressivität, haben diese Mutationen in der Regel keinen Einfluss.",corona,"[71, 79]"
c33e9616-861c-4275-beac-ee5208769bff,"Wie das Deutsche Ärzteblatt berichtet, haben Wissenschaftler des University College London aus den bisher bei Sars-CoV-2 beobachteten Mutationen 198 „herausgefischt“, die mehrfach aufgetreten sind und deshalb die weitere Entwicklung des Virus beeinflussen können.",corona,"[134, 142]"
9d897200-a4de-49a6-b00c-989147fa6b49,"Außerdem werden alle EinwohnerInnen aufgefordert, sich auf die spezielle Mutation testen zu lassen.",corona,"[73, 81]"
652bc824-258e-488a-aa97-84facfb4d843,"Eine britische Studie, die Mutationen des Virus untersucht hatte, kommt zudem ebenfalls zu dem Ergebnis, dass sich Sars-CoV-2 bereits lange vor Bekanntwerden der ersten Fälle rasant weltweit ausgebreitet hat.",corona,"[27, 35]"
a7f13111-d537-4367-a563-29d54ba82633,"Aber die Faktoren, die eine Mutation lebensbedrohlich machen, hängen von menschlichem Handeln ab.",corona,"[28, 36]"
df66f3b0-146f-4cb5-a5ca-2c3c4022abfe,"Die Forscher fandenhunderte Mutationen, was bedeutet, dass sich das Virus wohl jahrelang in Wirtstieren verbreitete und schließlich auch Menschen infizierte.",corona,"[28, 36]"
