,text,label,span
idx,,,
a1000842-3199-48d3-b746-f63d26aa6b9d,"Washington Kaleigh McEnany ist bereits die vierte Pressesprecherin von US-Präsident Donald Trump, und wie ihre Vorgänger und Vorgängerinnen verteidigt sie alle Entscheidungen des Weißen Hauses, so umstritten sie auch sein mögen.",corona,"[186, 190]"
00a83901-692b-4376-a3cb-3dbf756256c4,"Wenige Stunden nach McEnanys Äußerungen im Weißen Haus gab die US-Regierung bekannt, dass sie im großen Stil Remdesivir einkaufen werde.",corona,"[50, 54]"
6525b111-f6fd-44b6-ac15-77069ba2c1c8,"Auch wenn die EU am Freitag eine Verlängerung des Einreiseverbots bis Mitte Juni verkündet hat, lockern die einzelnen Staaten zu Hause ihre Ausgeh- und Kontaktsperren sowie die Bestimmungen für Restaurants und Geschäfte Schritt für Schritt.",corona,"[129, 133]"
ca9de3be-7e62-4968-910b-4c88af22d6be,"Die 46 Millionen Einwohner dürfen ihre Häuser nur noch verlassen, um Produkte des täglichen Bedarfs einzukaufen, zum Arzt oder zur Arbeit zu gehen.",corona,"[39, 45]"
a945bbbc-9470-49b5-8895-523a36aacd97,Mit ihnen lässt sich die Zusammenarbeit von zu Hause aus oftmals einfacher organisieren als über meterlange Mailverteiler.,corona,"[47, 51]"
6485baac-d06c-446b-9192-0b33c950fa2d,"Die Angestellten sind angehalten, bis kommenden Sommer von zu Hause aus zu arbeiten – trotz des neuen Büros.",corona,"[62, 66]"
1b5cc8a7-bec3-450f-a150-5e8992372311,"Die Wahrscheinlichkeit, dass Trumps Nachfolger im Weißen Haus die Annexionspläne, die im arabischen Raum aufs Schärfste kritisiert werden, verwirft, ist hoch.",corona,"[57, 61]"
1872dff6-3fa6-451b-9351-3e78aad97c46,"Diese Krise wird seine erste Amtszeit als US-Präsident definieren – und maßgeblich dafür sein, ob ihn die Amerikaner im Herbst noch einmal ins Weiße Haus wählen.",corona,"[149, 153]"
ef1f89d8-a67c-4d9c-ae2b-9eb2f4397b55,"Schon jetzt sei klar, „dass der Unterricht auf absehbare Zeit aus einer Mischung von Präsenzunterricht und digitalem Lernen von zu Hause bestehen wird“, erklärte Unionsfraktionschef Ralph Brinkhaus (CDU) in einem internen Schreiben an seine Fraktion, das dem Handelsblatt vorliegt.",corona,"[131, 135]"
137f0ffd-94db-42a6-a859-9a0dcd5f64cf,In beiden Häusern gewann Paqué den gleichen Eindruck:,corona,"[10, 16]"
c8ad073f-d98c-46da-beb6-e49df0b7d282,"Zugleich gaben einige Tech-Unternehmen wie Twitter ihren Mitarbeiter bereits die Freiheit, auch nach dem Ende der Coronakrise weiter uneingeschränkt von zu Hause aus arbeiten zu dürfen.",corona,"[156, 160]"
922ccba1-3e4c-4c70-9164-5b440672e82d,"„Wir haben alle Mitarbeiter der betreffenden Niederlassung darüber informiert und sie aufgefordert, bis auf weiteres zu Hause zu bleiben“, erklärte ein Unternehmenssprecher.",corona,"[120, 124]"
c0b32160-6b4b-431d-8993-9e4e32d6b9db,"Von zu Hause aus arbeiten sie schon seit dem 23. März, nachdem die Börse als Vorsichtsmaßnahme völlig auf elektronischen Handel umstellte.",corona,"[7, 11]"
632fe401-2ef8-400a-bb56-d0f0d23d7918,"Die meisten US-Bundesstaaten haben ihre Bürger wegen der Ansteckungsgefahr aufgefordert, zu Hause zu bleiben.",corona,"[92, 96]"
6820c7f8-9460-4811-8332-4df0204adc3c,"Deutsche Urlauber, die dort in den Herbstferien sind, müssen nun bei Rückkehr in Quarantäne oder sich „freitesten“ lassen - es sei denn, sie fahren oder fliegen noch vor Samstag nach Hause.",corona,"[183, 187]"
d91f70ff-0d00-4553-80f8-f83604c997cb,Dieses Frühjahr haben die Menschen in Deutschland so viel Zeit wie noch nie zu Hause verbracht.,corona,"[79, 83]"
e794c032-716e-421b-9f03-e8156bf2acc7,"Bürger wurden gebeten, zu Hause zu bleiben.",corona,"[26, 30]"
877cab04-a144-4746-b8d6-2ca388950593,"Wer nur milde erkrankt war, wurde angewiesen, sich zu Hause auszukurieren.",corona,"[54, 58]"
ca052a87-4d12-4225-b80a-33b0692d6d09,Meschede Nach den coronabedingten Schließungen in der Gastronomie wird mehr Bier zu Hause getrunken - allerdings gleicht das die Verluste der Brauer bei Fassbier bei weitem nicht aus.,corona,"[84, 88]"
584653ad-953c-4ae4-af96-2fa6693ee40a,"Erkrankte Inselbewohner, die sich ansonsten in gutem Gesundheitszustand befinden und keine Vorerkrankungen haben, sollen vorrangig zu Hause behandelt werden.",corona,"[134, 138]"
b4654c90-43dc-4201-a30f-2b086689f8f6,"Die Mitarbeiter arbeiten auf neun Zeitzonen verteilt, in Büros, Coworking-Spaces oder zu Hause.",corona,"[89, 93]"
9603f954-159b-48b2-874f-ca5a65bf631e,In einer Pressemitteilung des Weißen Hauses heißt es:,corona,"[37, 41]"
d79dbb41-c320-4c96-9414-f1463d36de9c,"„Dem Präsidenten und der First Lady geht es gut, und sie planen, während ihrer Genesung zu Hause zu bleiben.“",corona,"[91, 95]"
c8660843-d402-4105-bcd3-bd9956811c77,"Trumps Arzt Scott Conley teilte mit, dass das Ehepaar im Weißen Haus bleiben wolle.",corona,"[64, 68]"
512dd15e-2610-40ce-b88a-38885400aef1,Alle halbe Jahre bescheinigt ihm der Arzt des Weißen Hauses aber eine insgesamt gute gesundheitliche Verfassung.,corona,"[53, 57]"
0d19325d-7b19-4c11-9d32-05dd52b8a8cd,"Ein Impfstoff wird im Weißen Haus als Schlüssel gesehen, um die Wirtschaft wiederzubeleben.",corona,"[29, 33]"
fcdb1543-d50e-4cc7-a368-be5cb45533e8,"Das Weiße Haus begründete dies damit, dass der Präsident und sein Umfeld regelmäßig auf das Coronavirus getestet würden.",corona,"[10, 14]"
1a1e27c7-25b5-4e1a-8df9-d52c3972772f,"Ende Juli wurde der Nationale Sicherheitsberater im Weißen Haus, Robert O’Brien, positiv getestet.",corona,"[59, 63]"
09e43262-f8fa-4cdd-8825-e5a43a33f153,"In dieser Situation gehen nur die wenigsten Menschen auf die Suche nach einem neuen Haus oder einer neuen Wohnung, Kaufvorhaben werden aufgeschoben oder ganz ad acta gelegt.",corona,"[84, 88]"
99bdda0d-3fb4-4368-84db-e73107ef4231,Drei Wochen freies Spielen zu Hause und im eigenen Garten.,corona,"[30, 34]"
33137d52-f3c9-4144-b955-572a734752e1,"Ich im Dachgeschoss unseres Hauses, er im Keller, dazwischen die Jungs.",corona,"[28, 32]"
413d21e5-5e57-44a7-a560-03dc2d378138,"Der Grünen-Politiker Konstantin von Notz hatte die Erweiterung der Warn-App um eine „manuelle Funktion“ zum Erfassen von Zusammenkünften mehrerer Personen vorgeschlagen, zum Beispiel zu Hause, im Restaurant oder im beruflichen Meeting.",corona,"[186, 190]"
b4614bf3-052c-4224-9345-e74e672730d0,"Derzeit prüft das Management, ob es sich lohnt, stattdessen UV-C-Licht-Lösungen aus dem eigenen Haus im Kampf gegen die Coronaviren einzusetzen.",corona,"[96, 100]"
d9725edd-f04f-4803-b008-b2bb7f88dfa9,Diese würden nach Hause geliefert.,corona,"[18, 22]"
c9a3e6f4-721d-41c9-8e9b-f9e346ba98a0,"Wer irgend kann, soll zu Hause arbeiten.",corona,"[25, 29]"
55676a6c-b24a-457e-9852-e6f7112d093b,"Außerdem darf man eine Stunde vors Haus, um Sport zu treiben – allein im Radius von einem Kilometer, wohlgemerkt.",corona,"[35, 39]"
409e8023-113f-412a-99c0-b3c46cdb3b90,"Ähnlich wie in Deutschland haben Eltern ohnehin keine Wahl: Zumindest ein Elternteil muss zu Hause bleiben, weil alle Schulen und Kindergärten geschlossen sind.",corona,"[93, 97]"
8760d608-2985-43a9-8b31-8cb4cc39adae,Die Chefs der Republikaner und Demokraten im Kongress haben zum Wochenbeginn einen Termin bei Trump im Weißen Haus.,corona,"[110, 114]"
41ff0b58-bdd4-4e82-9bac-e1d20af20729,"Aber sie werden auch in Testzentren und bei mobilen Abstrichdiensten eingesetzt, bei denen sich Bürger etwa zu Hause auf Corona testen lassen können.",corona,"[111, 115]"
be8d229e-5269-4e8b-8936-24974d1b8671,"Bis vor kurzem waren die meisten daran gewohnt, dass sehr viele Alte ihre vergangenen Jahre in Heimen oder allein zu Hause verbringen.",corona,"[117, 121]"
96643544-1524-46af-a085-96effabce303,"„Sobald polnische oder tschechische Fahrer von ihrem Einsatz in Deutschland nach Hause kommen, müssen sie in eine zweiwöchige Quarantäne“, bemängelt DSLV-Hauptgeschäftsführer Frank Huster.",corona,"[81, 85]"
f7d33829-d1da-4ae3-b48b-29c41e603b77,Der Laptop zu Hause,corona,"[14, 18]"
65c1c560-6917-409e-82f4-86c2743e2d3d,"Doch es gibt eine Auswahl von nützlichen Tools, um auch von zu Hause mit den Kollegen zu kommunizieren, Dateien zu teilen und Projekte planen zu können.",corona,"[63, 67]"
5003aea6-78ce-4c2c-9573-70094cadd796,"Die Häuser unterstützen sich ihm zufolge etwa, indem sie sich mit Personal aushelfen oder Patienten verlegen.",corona,"[4, 10]"
0550a5fe-c2d1-46fc-8196-a0d107fdfc0a,Die Kinder aus den Jahrgangsstufen eins bis drei sowie die Schüler der fünften bis achten Klasse bleiben laut einer bundesweiten Umfrage der Deutschen Presse-Agentur (dpa) erst einmal zu Hause.,corona,"[187, 191]"
