,text,label,span
idx,,,
a6b7b7d9-9ed7-46fd-af36-c4b289cbcf49,"„Keine Fotos!“, brüllt einer der Polizisten, sobald man sein Handy zückt.",corona,"[12, 13]"
73c53fbd-db44-415e-aba6-791eb51a7698,Und wie!“,corona,"[7, 8]"
fdcc3c85-4fc1-46fb-8e9f-c218a9d6ceb8,"Auch Ältere haben per Se kein höheres Risiko, sondern nur dann wenn sie durch ihren Lebenswandel, durch Vorerkrankungen und vor allem auch durch Medikamenteneinnahme immungeschwächt sind ! Wenn sich mehr Menschen informieren und sich dies klar machen würden, dann könnte ein Großteil der aktuell herrschenden irrationalen Angst und Hysterie überwunden werden.",corona,"[187, 188]"
6eed5b11-47a4-4433-b321-44931a8439b0,"Die Coronavirus-Verharmloser, werden infiziert!",corona,"[46, 47]"
96450f11-97d2-424c-b760-7c247da85e94,"Bolsonaro, Johnson usw., und jetzt Trump!",corona,"[40, 41]"
b71ecc49-9479-4fef-8737-688a827837eb,"Und dann: „Der nächste Gouverneur, bitte!“",corona,"[40, 41]"
4d0ffeb8-8754-4db1-a7e3-2bf6db56d955,Wir schaffen das!“,corona,"[16, 17]"
a3ac7c04-67d8-4eef-ae37-58ea1ed8b120,„Bestellen Sie Online!“,corona,"[21, 22]"
18b8ff95-b27e-47df-bb4b-9d3f719eae18,„Weit gefehlt!,corona,"[13, 14]"
fb438d8e-0d5d-470f-ae57-b8c8a24f96c9,Vergeuden Sie niemals eine gute Krise!,corona,"[37, 38]"
7242fcbf-a9b4-4bd4-880c-158b82b22c0e,Hätte die Politik doch nur früher auf uns gehört!,corona,"[48, 49]"
72f54302-679c-4c43-b879-331698ff27a8,Jetzt ist es an der Zeit!,corona,"[24, 25]"
70da7df1-b6c0-4912-8111-09840448b3a6,Das Fazit: Wir haben das zwar geschafft!,corona,"[39, 40]"
a8280622-6d7f-4e15-a131-533684b0f184,"Auf Twitter schrieb der Republikaner in Großbuchstaben „Befreit Michigan!“, „Befreit Minnesota!“ und „Befreit Virginia“.",corona,"[72, 73]"
ba5d9405-d184-41f0-b44b-6c90d0c04c1a,"Auf Twitter schrieb der Republikaner in Großbuchstaben „Befreit Michigan!“, „Befreit Minnesota!“ und „Befreit Virginia“.",corona,"[72, 73]"
667966c4-44ab-45bd-966a-9ce7df281f52,Aber Vorsicht!,corona,"[13, 14]"
d3dd7b75-3ea9-4312-a31d-379c0d0e4f3a,"„Stay strong and keep going!“ (etwa: „Bleib stark und lass Dich nicht unterkriegen!“) schrieb Macron am Freitag handschriftlich auf einer Karte, die an „Dear Donald“ adressiert und auf Facebook zu sehen war.",corona,"[27, 28]"
7239867c-47f8-476d-a84f-a8bc6c71da82,"„Stay strong and keep going!“ (etwa: „Bleib stark und lass Dich nicht unterkriegen!“) schrieb Macron am Freitag handschriftlich auf einer Karte, die an „Dear Donald“ adressiert und auf Facebook zu sehen war.",corona,"[27, 28]"
cd916848-396d-45c3-bd1c-ee0872a5200c,So sieht es also bei demjenigen zu Hause aus!,corona,"[44, 45]"
f72c204d-76b2-4c0b-951f-25a83344e223,"„The music must go on!“, schrieben die Musiker auf ihrer Webseite.",corona,"[21, 22]"
134c704f-46fa-4e78-8653-c8db47b9fafd,„Na und!“,corona,"[7, 8]"
