,text,label,span
idx,,,
daf2f900-5861-47cc-a863-083468174aab,"„Weihnachten wird damit zu einem Fest mit einem Todesrisiko für manche Menschen”, sagte der Vorsitzende des Weltärztebundes, Frank Ulrich Montgomery, SWR Aktuell.",corona,"[64, 70]"
56e469bb-b281-4af3-bcbd-2982b3d3e718,"Schacht räumt dabei ein, dass für manche Unternehmen das Finanzierungsumfeld auch schwieriger werden könnte.",corona,"[34, 40]"
c043b1cd-21ac-4380-8d93-35e7726ad994,Doch inanderen Staatengelang manches sogarnoch besser.,corona,"[29, 35]"
80fd3ca9-4d6c-4c81-8e0a-ba238675efc6,"Auch die Vorhaltungen mancher Protestler an die Regierenden, dass man hierzulande seiner Meinung nicht mehr frei äußern dürfe, hält der Politikprofessor Oberreuter für abwegig.",corona,"[22, 28]"
39ef53f0-3bab-44f5-9441-1c7a358e5612,Der Anspruch ist damit gesetzt – und mancher Leser könnte allein den Titel als intellektuelle Anmaßung empfinden.,corona,"[37, 43]"
088ba13e-5306-474d-ad40-1456e45e5bf3,Manche Lokalregierungen warnten gar vor Reisen nach Peking.,corona,"[0, 6]"
548edc7c-2829-45fe-8049-68213c953688,Manche Länder mussten wegen der fehlenden Touristen bereits ihre Wachstumsprognosen nach unten korrigieren.,corona,"[0, 6]"
9b672284-9605-45ca-a1bc-74628b51aad7,Manchen Unternehmen bleibe schlicht keine Zeit mehr.,corona,"[0, 6]"
46fc5ef7-1424-4ea4-9656-6275564c13fb,Die ehemals teuerste der erneuerbaren Energien ist heute in manchen Ländern der Welt schon billiger als ein neues Kohle- oder Gaskraftwerk.,corona,"[60, 66]"
5e95bddb-aeef-4f04-96e8-362ec701d7bf,"So kostet eine Kilowattstunde Solarstrom in der Herstellung nur noch zwischen vier und fünf Cent, in manchen besonders sonnenreichen Regionen sogar noch weniger.",corona,"[101, 107]"
2d536c1d-2fd3-4455-8a6b-3919a8ea96fd,Eine weitere Erkenntnis des Ökonomen: „Gerade Italien ist in manchen Sektoren sogar wichtiger für die deutsche Industrie als China.“,corona,"[61, 67]"
0a589ea5-94be-442a-a9a0-e682fcbe6854,Schließlich könnte dann auch so manches Unternehmen ohne tragfähiges Geschäftsmodell künstlich am Leben erhalten werden.,corona,"[32, 38]"
fd252c46-63e1-46e7-a293-e8a2277b9018,"In manchen Fällen sogar ohne die Möglichkeit, ihre Wohnungen bei Gefahr zu verlassen.",corona,"[3, 9]"
49b71383-68e5-4beb-9f9e-7b1b99a5a0fb,"Bedenklich ist die Teilkapitulation mancher Regierungen, die sich ostentativ damit begnügen, die Durchseuchung der Gesellschaft zu verlangsamen, anstatt sie zu verhindern.",corona,"[36, 42]"
88302d54-fc62-4771-a830-5e31f452d954,"Mancher mag sich inzwischen fragen, was die unberechenbarere Größe ist: das Virus oder die politischen Akteure, die es mit allen Mitteln bekämpfen – was immer es auch kosten mag.",corona,"[0, 6]"
74cf5a89-07cd-4887-a85d-a43b3ac98a7a,Man denke in solch einer Zeit über manches nach und werde demütiger.,corona,"[35, 41]"
81dd85bb-f6ea-4653-8ad0-0b109221eddf,"In mancher Hinsicht läuft es derzeit schlimmer als während der Euro-Krise: Frankreich reißt sich Schutzmasken unter den Nagel, die Schweden zustehen.",corona,"[3, 9]"
bf310101-54d3-4b63-b544-0d90a68be119,"Manche Abgeordnete seien der Ansicht, die Krise sei vorbei, erklärte Whitmer.",corona,"[0, 6]"
691bafef-d399-434d-94ad-e0e6eef1dd55,Manche Patienten werden ihren Beruf dadurch nicht mehr oder nur noch teilweise ausüben können.“,corona,"[0, 6]"
ca3c31b5-302d-4e3b-aeca-d6d5f96603ee,"Manche Policen leisten auch, wenn es ein längeres berufliches Tätigkeitsverbot wegen einer Infektionsgefahr gibt.",corona,"[0, 6]"
9792eafc-8988-4c8c-8970-b287cd88e198,"Manche konnten die Zahl der Neuinfektionen sogar auf null drücken, bevor sie ihre Wirtschaften wieder öffneten.",corona,"[0, 6]"
f3ab16a2-7cef-4196-9cc1-08c33b9b7c57,Trotzdem könnte der Reiseverkehr zwischen manchen Staaten schon bald wieder aufleben.,corona,"[42, 48]"
5ec78ccd-6996-44e4-b0ec-f017b841a317,Ungläubig blicken manche Beobachter auf die Lockerungsübungen in Deutschland.,corona,"[18, 24]"
3e0ee76a-2876-4ed0-b884-f250cad11e94,"""Arbeitsplätze werden langsamer zurückkehren als manche Menschen erwarten.""",corona,"[49, 55]"
cd380732-7958-4f7e-9357-45a6896d138d,"Manche warten drei Stunden in der Sonne, bis sie endlich an der Reihe sind.",corona,"[0, 6]"
e6e67d54-c06e-4ca9-9059-290c79f6a779,"Finanzchef Christian Illek sagte, der Ausbruch der Corona-Pandemie habe trotz gestiegener Nachfrage nach manchen Produkten einen negativen Effekt auf das Geschäft der Telekom gehabt.",corona,"[105, 111]"
01bfd4ba-c704-453d-ac62-6f71ea3d6deb,"Viele Unternehmen sind gegen Betriebsschließung versichert, doch sind Pandemien in manchen Standardpolicen nicht gedeckt.",corona,"[83, 89]"
