"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-10-23","internetbasiert","„Querdenker“ rufen zu Protest gegen Weltgesundheitsgipfel in Berlin auf. Tagesspiegel, 2020-10-23","https://www.tagesspiegel.de/berlin/corona-skeptiker-und-verschwoerungsideologen-querdenker-rufen-zu-protest-gegen-weltgesundheitsgipfel-in-berlin-auf/26303418.html","Unter den eingeladenen Referenten befinden sich mit dem Virologen Christian Drosten und dem Leiter des Robert Koch-Instituts Lothar Wiehler entscheidende Köpfe der Virus-Bekämpfung in der Bundesrepublik und damit auch grundsätzliche Feindbilder der ""Querdenker""."
"2","2020-11-22","internetbasiert","Dritter Zwischenbericht - Die Corona-Krise. freitag.de, 2020-11-22","https://www.freitag.de/autoren/sigismundruestig/die-corona-krise-2","Sie bewegt sich derzeit auf dem Niveau der selbst ernannten Querdenker, denen ich einen eigenen Abschnitt gewidmet habe."
"3","2020-11-22","internetbasiert","Dritter Zwischenbericht - Die Corona-Krise. freitag.de, 2020-11-22","https://www.freitag.de/autoren/sigismundruestig/die-corona-krise-2","Übrigens scheint es aktuell - in Anbetracht der nicht mehr übersehbaren Corona-Epidemie-Realität, die zunehmend nicht mehr mit den Verschwörungserzählungen der Querdenker in Einklang gebracht werden kann - prominente Absetzbewegungen von den Corona-Leugnern zu geben."
"4","2020-10-23","internetbasiert","„Querdenker“ rufen zu Protest gegen Weltgesundheitsgipfel in Berlin auf. Tagesspiegel, 2020-10-23","https://www.tagesspiegel.de/berlin/corona-skeptiker-und-verschwoerungsideologen-querdenker-rufen-zu-protest-gegen-weltgesundheitsgipfel-in-berlin-auf/26303418.html","Unklar, wieso die ""Querdenker"" dennoch vor allem zum Kosmos mobilisieren."
"5","2020-11-15","internetbasiert","Das etwas andere Logbuch - Das Leben in den Zeiten der Corona, Woche 35. freitag.de, 2020-11-15","https://www.freitag.de/autoren/cabee/das-leben-in-den-zeiten-der-corona-woche-35","Darf man in Deutschland noch ein “Denker” sein (eine Gattung, für die das Land schließlich einmal berühmt war), oder wird man stufenlos gleich zum “Querdenker”, sobald man nur den Kopf anschaltet?"
"6","2020-05-16","internetbasiert","Demonstrationen in Frankfurt: „Die Nazi-Keule zieht nicht mehr“. Frankfurter Allgemeine Zeitung, 2020-05-16","https://www.faz.net/1.6772920","Die Gruppe der „Querdenker“ grenzt sich öffentlich von Extremisten ab."
"7","2020-05-23","internetbasiert","Frankfurt: Polizei geht mit Festnahmen gegen Corona-Verstöße vor. Frankfurter Allgemeine Zeitung, 2020-05-23","https://www.faz.net/1.6782841","Auch nach den jüngsten Ausschreitungen gehen „Querdenker“ und Corona-Leugner wieder auf die Straße – in Leipzig ohne Genehmigung."
"8","2020-11-22","internetbasiert","Dritter Zwischenbericht - Die Corona-Krise. freitag.de, 2020-11-22","https://www.freitag.de/autoren/sigismundruestig/die-corona-krise-2","4. Warum sich Querdenker an Gesichtsmasken abarbeiten?"
"9","2020-05-23","internetbasiert","Corona und Verschwörungstheorie: Macht Bio wirr?. Tazgezwitscher, 2020-05-23","https://taz.de/!5684477/","Unabhängige Geister - das ich nicht lache, diese Großstadt-Ökos, 'Tierschützer', Anthroposophen, Jesus-Freaks und Anarchisten sind doch keine radikalen Querdenker, die hängen fester in ihren Netzen als jeder Nazi - und das Netz heißt ich-ich-ich-ich-ich bin mindestens der Mittelpunkt der Welt, wenn nicht noch mehr!"
"10","2020-11-29","internetbasiert","Rednerin will einen Schweigemarsch in Auschwitz. Tagesspiegel, 2020-11-29","https://www.tagesspiegel.de/berlin/die-rechten-und-die-corona-demos-rednerin-will-einen-schweigemarsch-in-auschwitz/26670074.html","Nicht die ganze Bewegung sei extremistisch, dennoch könnten Rechtsextremisten in einzelnen Bundesländern bei den „Querdenkern“ einen bestimmenden Einfluss ausüben."
"11","2020-11-22","internetbasiert","Dritter Zwischenbericht - Die Corona-Krise. freitag.de, 2020-11-22","https://www.freitag.de/autoren/sigismundruestig/die-corona-krise-2","6. Warum Querdenker unsere Gesellschaft bedrohen"
