"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-05-20","internetbasiert","COVID-19: Künstliche Intelligenz ermöglicht schnelle Diagnose vor.... Deutsches Ärzteblatt, 2020-05-20","https://www.aerzteblatt.de/nachrichten/113033/COVID-19-Kuenstliche-Intelligenz-ermoeglicht-schnelle-Diagnose-vor-PCR-Test","Die erste Software nutzte ein „Convolutional Neural Network“ (CNN), eine Variante des maschinellen Lernens, um die Bilder auf Muster hin zu analysieren."
"2","2020-05-12","internetbasiert","Corona in Irland: Eine Insel, zwei Strategien. Tazgezwitscher, 2020-05-12","https://taz.de/!5685055/","Es gibt zwei Varianten:"
"3","2020-03-28","internetbasiert","16-jährige Schülerin ist Europas jüngste Corona-Tote. Tagesspiegel, 2020-03-28","https://www.tagesspiegel.de/politik/niemand-ist-vor-dem-virus-sicher-16-jaehrige-schuelerin-ist-europas-juengste-corona-tote/25692948.html","Sie müsse eine besonders aggressive Variante des Coronavirus abbekommen haben, sagte Salomon – allerdings gibt es, soweit bislang bekannt, keine wissenschaftlichen Hinweise darauf, dass solche besonders aggressiven seltenen Virusvarianten existieren."
"4","2020-04-23","internetbasiert","Koalitionsgespräche beginnen in Hamburg: Rot-grüne Rotation. Tazgezwitscher, 2020-04-23","https://taz.de/!5678079/","Hier gibt es zwei Varianten: Erhält Tjarks nur die Verkehrsbehörde, könnten die Grünen fünf statt bislang drei Behörden bekommen, da keines der aus SPD-Sicht wichtigen Ressorts (Finanzen, Inneres, Soziales und Wirtschaft) darunter ist."
"5","2020-06-18","internetbasiert","Blutgruppe: Warum manche Menschen schwer an Covid-19 erkranken. Spektrum, 2020-06-18","https://www.spektrum.de/news/blutgruppe-beeinflusst-schwere-des-verlaufs-von-covid-19/1744622","Neben Chromosom 9 lokalisierten die Molekularbiologen eine noch höhere Effektstärke für eine genetische Variante auf Chromosom 3."
"6","2020-01-26","internetbasiert","Coronavirus ist ohne Symptome übertragbar. N-Tv Nachrichten, 2020-01-26","https://www.n-tv.de/wissen/Coronavirus-ist-ohne-Symptome-uebertragbar-article21534499.html","Das unterscheide die neue Variante des Coronavirus von dem eng verwandten Sars-Erreger, der die Pandemie 2002/2003 ausgelöst hatte."
"7","2020-03-13","internetbasiert","Trump und die Coronakrise: Die USA im Alleingang. Tazgezwitscher, 2020-03-13","https://taz.de/!5671628/","Da bräuchte es die jetzt möglich erscheinende biologische Variante eigentlich nicht mehr."
"8","2020-03-08","internetbasiert","Corona-Virus auch in Lateinamerika: Nach dem Dengue-Fieber kam Corona. Tazgezwitscher, 2020-03-08","https://taz.de/!5669994/","Unterschieden werden vier Varianten des Dengue-Fiebers."
"9","2020-03-23","internetbasiert","Söder kann gar nicht schnell genug „vorpreschen“. Tagesspiegel, 2020-03-23","https://www.tagesspiegel.de/politik/hauptsache-effektiv-gegen-das-coronavirus-soeder-kann-gar-nicht-schnell-genug-vorpreschen/25671532.html","Das Wochenende bot ein Beispiel für die Variante ""Hohes Risiko""."
"10","2020-03-25","internetbasiert","Solidarität im Corona-Alltag: Wie kann ich anderen Menschen jetzt helfen? - DER SPIEGEL - Wissenschaft. Derspiegel, 2020-03-25","https://www.spiegel.de/wissenschaft/mensch/solidaritaet-im-corona-alltag-wie-helfe-ich-anderen-menschen-am-besten-a-6a0c9610-39ce-4dd2-b400-cacd8978492d","Das ist die sicherste Variante, um wirklich dafür zu sorgen, dass der Virus nicht weiter übertragen wird."
"11","2020-04-13","internetbasiert","Kredite - Corona-Krise: Banken geizen mit Krediten an grosse Firmen in Not. Cash, 2020-04-13","https://www.cash.ch/news/top-news/kredite-corona-krise-banken-geizen-mit-krediten-grosse-firmen-not-1523112","In der Vergangenheit seien alle drei Varianten günstig gewesen, die Banken hätten sich gegenseitig unterboten."
"12","2020-03-21","internetbasiert","Corona-Dämmerung für Neoliberalismus: Ende einer Theorie. Tazgezwitscher, 2020-03-21","https://taz.de/!5669238/","Rücksichtnahme auf religiöse Empfindlichkeit ist keine Selbstzensur und Macrons Variante von Laizismus kein universeller Wert."
"13","2020-04-10","internetbasiert","Corona - Rausch des Notstands. freitag.de, 2020-04-10","https://www.freitag.de/autoren/jaugstein/rausch-des-notstands","Abgesehen davon, dass es wohl nicht viel bringen würde, wenn Du das Geld gleichmäßig auf die Weltbevölkerung verteilen könntest, dürfte es wohl kaum für Dich eine Variante geben, die nicht in irgend eine Weise unter Kritik fallen würde."
"14","2020-12-01","internetbasiert","Kontaktverfolgung: RKI veröffentlicht neue Version der Corona-Warn-App. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/deutschland/kontaktverfolgung-rki-veroeffentlicht-neue-version-der-corona-warn-app/26658740.html","Berlin Die offizielle Corona-Warn-App des Bundes steht in einer verbesserten Variante zum Herunterladen bereit."
"15","2020-03-25","internetbasiert","Kurzarbeit: Arbeitsmarktpolitik in Zeiten von Corona - A&W-Blog. Arbeit&Wirtschaft Blog, 2020-03-25","https://awblog.at/kurzarbeit-arbeitsmarktpolitik-corona/","Die nun neu geschaffene Variante ist eine erleichterte Form der in Österreich bereits bestehenden Möglichkeit der Kurzarbeit und resultiert aus der raschen Einigung der Sozialpartner mit der Bundesregierung."
"16","2020-08-26","internetbasiert","Wie die Corona-Protestanten ticken - DER SPIEGEL - Netzwelt. Derspiegel, 2020-08-26","https://www.spiegel.de/netzwelt/corona-proteste-psychogramm-der-empoerten-kolumne-a-e853511e-eb67-48df-a801-194dd373a7cd","Magie und magische Erzählungen spielen eine große Rolle, weil sie per Definition undurchschaubar und unberechenbar sind und sich damit als Angstporno-Anlass eignen – allerdings handelt es sich um eine moderne Variante."
"17","2020-03-29","internetbasiert","Sind wir jetzt alle Covid-Kommunisten? Oder: Kritische Anmerkungen zum aufziehenden Covid-Korporatismus.. Solidarisch gegen Corona, 2020-03-29","https://solidarischgegencorona.wordpress.com/2020/03/29/sind-wir-jetzt-alle-covid-kommunisten-oder-kritische-anmerkungen-zum-aufziehenden-covid-korporatismus/","Falls der neue globale Katastrophensozialismus überhaupt sozialistisch ist, dann ist er eine erklärtermaßen passive, konsumistische Variante des Sozialismus, bei der wir vom Staat dafür bezahlt werden, unter Kriegsrecht zu leben, während wir vermutlich von zu Hause aus arbeiten und gleichzeitig auf Kosten einer prekarisierten Klasse leben, die gezwungen ist, für Deliveroo und Amazon zu schuften, während der Rest der produktiven Wirtschaft zerbröckelt:voll automatisierter Luxus-Autoritarismus."
"18","2020-03-17","internetbasiert","Neue Enkeltrick-Variante mit Corona-Virus. N-Tv Nachrichten, 2020-03-17","https://www.n-tv.de/ticker/Neue-Enkeltrick-Variante-mit-Corona-Virus-article21648664.html","Es ist der sogenannte Enkeltrick in neuer, aktueller Variante:"
"19","2020-10-05","internetbasiert","Recruiting: Wie IT-Riese Atos trotz Corona wächst. futurezone.at, 2020-10-05","https://futurezone.at/b2b/recruiting-wie-it-riese-atos-trotz-corona-waechst/401052004","Und wir bieten jeder Zielgruppe jede erdenkliche Variante an Arbeitszeitmodellen."
"20","2020-05-23","internetbasiert","Kultur in der Corona-Krise: Meistersinger versus Arbeitsrecht. Frankfurter Allgemeine Zeitung, 2020-05-23","https://www.faz.net/1.6782014","In dieser Variante würde das Ausfallrisiko einer Aufführung beim Arbeitgeber, den Opernhäusern und Theatern, liegen, führt Schmidt aus."
"21","2020-06-22","internetbasiert","Otterfing: Wie viel Straßenbau lässt Corona zu?. Merkur.de, 2020-06-22","https://www.merkur.de/lokales/region-holzkirchen/otterfing-ort29238/otterfing-wie-viel-strassenbau-laesst-corona-zu-13805644.html","Um 30000 Euro günstiger käme die Variante, die Hauptspur in der Mitte zu asphaltieren."
"22","2020-05-09","internetbasiert","Rechtsgrundlage für Tracing-Apps - Warum wir ein Corona-Tracing-Gesetz brauchen. netzpolitik.org, 2020-05-09","https://netzpolitik.org/2020/warum-wir-ein-corona-tracing-gesetz-brauchen/","Wenn also eine Variante von „nicht ganz so freiwillig“ umgesetzt wird."
"23","2020-03-25","internetbasiert","Alle Länder halten an den Abiturprüfungen fest. Tagesspiegel, 2020-03-25","https://www.tagesspiegel.de/berlin/das-abitur-und-die-coronakrise-alle-laender-halten-an-den-abiturpruefungen-fest/25680716.html","Die Variante eines ""Anerkennungsabiturs"", das nur aus den Semesternoten bestehen würde, ist somit - erstmal - vom Tisch."
"24","2020-05-27","internetbasiert","+++ Corona News am 27. Mai +++: Lufthansa stimmt Hilfspaket nicht zu. Tazgezwitscher, 2020-05-27","https://taz.de/!5688833/","Selbst-Täuschung von Akteuren ist dabei die harmloseste Variante."
"25","2020-04-20","internetbasiert","Brüssel: Schon 3,4 Billionen gegen Corona-Krise mobilisiert. https://www.merkur.de, 2020-04-20","https://www.merkur.de/wirtschaft/bruessel-schon-3-4-billionen-gegen-corona-krise-mobilisiert-zr-13668329.html","Der spanische Ministerpräsident Pedro Sánchez fordert nach einem Bericht der Zeitung ""El Pais"" eine eigene Variante des Recovery Funds im Umfang von etwa 1,5 Billionen Euro."
"26","2020-09-16","internetbasiert","Deutschland erklärt Wien zum Corona-Risikogebiet. Merkur.de, 2020-09-16","https://www.merkur.de/wirtschaft/deutschland-erklaert-wien-zum-corona-risikogebiet-zr-13902946.html","Die eher positive Variante sage ein tägliches Plus von etwa 650 Fällen voraus, pessimistischere Varianten gingen von 1500 täglichen Neuinfektionen aus."
"27","2020-04-29","internetbasiert","Das große FAQ zur Pandemie. Tagesspiegel, 2020-04-29","https://www.tagesspiegel.de/wissen/99-fragen-und-antworten-zum-coronavirus-das-grosse-faq-zur-pandemie/25583902.html","Nach dem Tode einer 16-jährigen Französin wurde der Generaldirektor für Gesundheit des Landes, Jérome Salomon, mit den Worten zitiert, die junge Frau habe wohl eine besonders aggressive Variante des Virus gehabt."
"28","2020-05-11","internetbasiert","Tragen, Atmen, Waschen: So klappt der Alltag mit Maske. Apotheken Umschau, 2020-05-11","https://www.apotheken-umschau.de/Coronavirus/Tragen-Atmen-Waschen-So-klappt-der-Alltag-mit-Maske-558659.html","Für die Variante Kochtopf muss der Maskenstoff kochfest sein, was Baumwolle in der Regel ist."
"29","2020-03-12","internetbasiert","Vorsicht, Hacker nutzen Corona-Panik!. N-Tv Nachrichten, 2020-03-12","https://www.n-tv.de/technik/Vorsicht-Hacker-nutzen-Corona-Panik-article21636378.html","Eine neue Variante der Malware ist sogar in der Lage, ein verstecktes Administrator-Konto auf dem infizierten Rechner einzurichten und die Steuerung per Fernzugriff zu erlauben."
"30","2020-04-13","internetbasiert","Coronavirus: Düstere Prognosen für Schweizer Wirtschaft wegen Teil-Stillstand. Cash, 2020-04-13","https://www.cash.ch/news/politik/coronavirus-duestere-prognosen-fuer-schweizer-wirtschaft-wegen-teil-stillstand-1523264","""All in plus"" heisst die von der Armee gewählte Variante."
"31","2020-04-26","internetbasiert","Coronavirus News am Sonntag: Die wichtigsten Entwicklungen zu Sars-CoV-2 und Covid-19 - DER SPIEGEL - Wissenschaft. Derspiegel, 2020-04-26","https://www.spiegel.de/wissenschaft/medizin/coronavirus-news-am-sonntag-die-wichtigsten-entwicklungen-zu-sars-cov-2-und-covid-19-a-362880c1-cb28-41ed-9d64-1b4625c7c6a5","Gespeichert werden die Daten auf einem zentralen Server in Australien und nicht dezentral, wie bei der geplanten deutschen Variante."
"32","2020-03-31","internetbasiert","Feinstaub Covid19 - Covid19 und Feinstaub. freitag.de, 2020-03-31","https://www.freitag.de/autoren/bienensterben/covid19-und-feinstaub","Falls es aber noch eine innovativere Variante gibt, lass´ mich teilhaben."
"33","2020-03-29","internetbasiert","Strategien gegen das Coronavirus: Tödliche Arroganz - Kommentar - DER SPIEGEL - Kultur. Derspiegel, 2020-03-29","https://www.spiegel.de/kultur/strategien-gegen-das-coronavirus-toedliche-arroganz-kommentar-a-17422345-38c1-405f-b307-7deab0fc02e7","Eine besonders eindrückliche Variante findet man, täglich aktualisiert und frei zugänglich, bei der britischen ""Financial Times""."
"34","2020-03-26","internetbasiert","Fortschritt bei Corona-Mittel macht Hoffnung. N-Tv Nachrichten, 2020-03-26","https://www.n-tv.de/wissen/Fortschritt-bei-Corona-Mittel-macht-Hoffnung-article21671398.html","Dort entwickelt man zudem eine spezielle Variante dieser Proteine, die einen weiteren Vorteil hat:"
"35","2020-10-13","internetbasiert","Corona-News am Dienstag: Die Niederlande treten ab Mittwoch in Teil-Lockdown - DER SPIEGEL - Wissenschaft. Derspiegel, 2020-10-13","https://www.spiegel.de/wissenschaft/corona-news-am-dienstag-robert-koch-institut-rki-meldet-ueber-4000-infizierte-a-13b0151a-2b65-4c32-86bb-40ab91098fe8","Der Mann infizierte sich der Studie zufolge mit zwei unterschiedlichen Varianten des Virus Sars-CoV-2."
"36","2020-04-27","internetbasiert","Corona-Krise: Chemnitzer Pflegeheim setzt auf «Besuchsboxen» - WELT. DIE WELT, 2020-04-27","https://www.welt.de/regionales/sachsen/article207560275/Corona-Krise-Chemnitzer-Pflegeheim-setzt-auf-Besuchsboxen.html","«Deshalb begrüße ich es sehr, wenn die Einrichtungen in eigener Verantwortung Lösungen und Varianten finden, mit denen der Kontakt der Bewohnerinnen und Bewohner zu ihren Familien ermöglicht wird.»"
