"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-05-19","internetbasiert","Nachhaltige Nicht-Nachhaltigkeit. Soziopolis, 2020-05-19","https://soziopolis.de/beobachten/gesellschaft/artikel/nachhaltige-nicht-nachhaltigkeit/","Unterbezahlung, Ausbeutung, Ungleichheit und Exklusion sind also nicht wenigersystemrelevantals die Berufsgruppen, die im Zeichen des Virus so bezeichnet werden."
"2","2020-06-04","internetbasiert","Coronavirus: Wie und mit welchen Daten wir die Ausbreitung zeigen. Neue Zürcher Zeitung, 2020-06-04","https://www.nzz.ch/wie-und-mit-welchen-daten-wir-die-weltweite-ausbreitung-des-coronavirus-zeigen-ld.1549112","Grundsätzlich muss man sich auch bewusstmachen, dass weltweit bereits jeweils wesentlich mehr Leute mit dem Coronavirus infiziert sind, als in der Datenbank erfasst sind, da viele Infizierte gar nie auf das Virus getestet werden."
"3","2020-04-07","internetbasiert","Hoffnung auf Corona-Heilmittel - Bayer transportiert 600.000 Chloroquin-Tabletten nach Deutschland. https://www.merkur.de, 2020-04-07","https://www.merkur.de/welt/corona-spahn-medikament-chloroquin-gegenmittel-tuebingen-institut-bayer-resochin-rki-covid-19-zr-13585895.html","Dadurch habe man einen Ansatzpunkt zur Bekämpfung des Virus gefunden, so Pöhlmann weiter."
"4","2020-03-31","internetbasiert","Coronavirus: Prokrastinierte Probleme auf der Tagesordnung. Neue Zürcher Zeitung, 2020-03-31","https://www.nzz.ch/meinung/kolumnen/coronavirus-prokrastinierte-probleme-auf-der-tagesordnung-ld.1549353","Das Virus verlangt nach sofortigen Entscheidungen und ermöglicht zugleich eine ungeahnte Machtfülle – ein Trend, der sich ohnehin schon seit Jahren abzeichnet."
"5","2020-04-17","internetbasiert","Parlament fordert starkes Konjunkturpaket und EU-Coronavirus-Solidaritätsfonds | Aktuelles | Europäisches Parlament. Aktuelles | Europäisches Parlament, 2020-04-17","https://www.europarl.europa.eu/news/de/press-room/20200415IPR77109/parlament-fordert-starkes-konjunkturpaket-und-eu-coronavirus-solidaritatsfonds","Die Abgeordneten unterstreichen ferner die Notwendigkeit eines Ansatzes für die Zeit nach der Ausgangssperre in der EU, um ein erneutes Aufflammen des Virus zu vermeiden."
"6","2020-04-10","internetbasiert","Post-Corona-Studien: Das Virus wäre nichts ohne unsere Beine – und das Geheimnis des Menschseins (und des Web) liegt wohl in unseren Händen | NZZ. Neue Zürcher Zeitung, 2020-04-10","https://www.nzz.ch/feuilleton/postcorona-studien-das-virus-waere-nichts-ohne-unsere-beine-und-das-geheimnis-des-menschseins-und-des-webs-liegt-wohl-in-unseren-haenden-ld.1551068","Denn für das Ozonloch und alle von uns verursachten Schäden haben Viren nichts übrig."
"7","2020-10-30","internetbasiert","Corona-Antikörperstudie in Bayern: Deutlich mehr Kinder und Jugendliche mit Corona infiziert - DER SPIEGEL - Wissenschaft. Derspiegel, 2020-10-30","https://www.spiegel.de/wissenschaft/medizin/antikoerperstudie-in-bayern-deutlich-mehr-kinder-und-jugendliche-mit-corona-infiziert-a-ddbfdf22-0325-4501-ba8a-7af350bc46b1","Wie oft sie das Virus weitergeben, ist allerdings immer noch schwer zu beziffern."
"8","2020-03-30","internetbasiert","Ungerechte Corona-Billionen in den USA: Konzentration auf die Katastrophe. Tazgezwitscher, 2020-03-30","https://taz.de/!5673344/","Auf demokratischer Seite hat Spitzenkandidat Biden erklärt, er wolle das Virus nicht politisieren."
"9","2020-05-12","internetbasiert","+++Börsen-Ticker+++ - Furcht vor zweiter Coronavirus-Infektionswelle lastet auf Wall Street. Cash, 2020-05-12","https://www.cash.ch/news/politik/boersen-ticker-furcht-vor-zweiter-coronavirus-infektionswelle-lastet-auf-wall-street-1542978","Börse - Deutsche Aktien trotz Virus so teuer wie seit 15 Jahren nicht https://t.co/M6a9O3oUpF pic.twitter.com/c7oP29MheN"
"10","2020-11-21","internetbasiert","Corona-Tote in Demenz-WG in Berlin-Spandau – Angehörige stellen Strafanzeige gegen Pflegedienst. Tagesspiegel, 2020-11-21","https://www.tagesspiegel.de/berlin/personal-sollte-keine-masken-tragen-corona-tote-in-demenz-wg-in-berlin-spandau-angehoerige-stellen-strafanzeige-gegen-pflegedienst/26646602.html","Eine Frau kam ins Krankenhaus und wurde dort positiv getestet, verstarb später an dem Virus, wie der Totenschein aussagt."
