"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-12-02","internetbasiert","Coronavirus: Was mit infizierten Mallorca-Urlaubern passiert. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/arts_und_style/lifestyle/coronavirus-was-mit-infizierten-mallorca-urlaubern-passiert/25617270.html","Palma de Mallorca Urlaub auf der Quarantänestation statt am Strand und im Hotel – viele Menschen blicken aktuell mit Sorge auf ihren geplanten Urlaub."
"2","2020-12-02","internetbasiert","Coronavirus: Was mit infizierten Mallorca-Urlaubern passiert. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/arts_und_style/lifestyle/coronavirus-was-mit-infizierten-mallorca-urlaubern-passiert/25617270.html","Palma de Mallorca Urlaub auf der Quarantänestation statt am Strand und im Hotel – viele Menschen blicken aktuell mit Sorge auf ihren geplanten Urlaub."
"3","2020-12-02","internetbasiert","Online Tagebuch Teil 1: Juchhu, wir haben Corona-Ferien!. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/management/online-tagebuch-teil-1-juchhu-wir-haben-corona-ferien/25647796.html","Warum wir keinen Urlaub nehmen?"
"4","2020-12-02","internetbasiert","Corona: Wie der Sommerurlaub in diesem Jahr noch klappen kann. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/finanzen/vorsorge/versicherung/corona-wie-der-sommerurlaub-in-diesem-jahr-noch-klappen-kann/25805156.html","Mit den zunehmenden Lockerungen der Corona-Beschränkungen hoffen immer mehr Bundesbürger darauf, im Sommer trotz der Coronavirus-Pandemie in den Urlaub fahren zu können."
"5","2020-12-02","internetbasiert","Wirtschaft, Handel & Finanzen: ROUNDUP: Streit um Ski-Saison während Corona - Conte gegen Öffnung vor Januar. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/dpa/konjunktur/wirtschaft-handel-und-finanzen-roundup-streit-um-ski-saison-waehrend-corona-conte-gegen-oeffnung-vor-januar/26654584.html","""Mir wäre lieber, wir würden ein einheitliches Übereinkommen auf europäischer Ebene haben: keine Skilifte offen überall beziehungsweise kein Urlaub überall."""
"6","2020-12-02","internetbasiert","Covid-19: Leere Läden und fallender Ölpreis – Coronavirus-Krise erschüttert den Mittleren Osten. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/covid-19-leere-laeden-und-fallender-oelpreis-coronavirus-krise-erschuettert-den-mittleren-osten/25595972.html","Versorgt werden können sie dort kaum noch, da sich Krankenschwestern mangels Schutzkleidung – sie mussten aus Mangel an Sicherheitsware teilweise Müllsäcke statt Kitteln umbinden – reihenweise in den Urlaub verabschiedeten."
"7","2020-12-02","internetbasiert","Coronakrise: US-Fluggesellschaften beurlauben 32.000 Mitarbeiter. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/coronakrise-us-fluggesellschaften-beurlauben-32-000-mitarbeiter/26234024.html","Bei American Airlines würden 19.000 Mitarbeiter in den Urlaub geschickt, bei United seien es wahrscheinlich 12.000, kündigten die Fluggesellschaften am Mittwoch an, nachdem Abgeordnete und das Weiße Haus sich nicht auf ein Corona-Hilfspaket einigen konnten, das auch Bundeshilfen für Fluggesellschaften vorgesehen hätte."
"8","2020-12-02","internetbasiert","Angst vor zweiter Coronawelle: Gesundheitsminister Spahn: „Wir sollten nicht übermütig werden – das gilt gerade im Urlaub“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/angst-vor-zweiter-coronawelle-gesundheitsminister-spahn-wir-sollten-nicht-uebermuetig-werden-das-gilt-gerade-im-urlaub/25999664.html","Das gilt auch und gerade im Urlaub.“"
"9","2020-12-02","internetbasiert","Angst vor zweiter Coronawelle: Gesundheitsminister Spahn: „Wir sollten nicht übermütig werden – das gilt gerade im Urlaub“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/angst-vor-zweiter-coronawelle-gesundheitsminister-spahn-wir-sollten-nicht-uebermuetig-werden-das-gilt-gerade-im-urlaub/25999664.html","Seit die Bundesregierung entschieden hat, die Reisewarnung für Mitgliedstaaten der Europäischen Union ab dem 15. Juni aufzuheben, nehmen die Buchungszahlen für Urlaube am Mittelmeer zu."
"10","2020-12-02","internetbasiert","Corona: Massentests und die „Ermittlungskommission Carne“: Wie Gütersloh gegen die zweite Welle kämpft. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/corona-massentests-und-die-ermittlungskommission-carne-wie-guetersloh-gegen-die-zweite-welle-kaempft/25947228.html","Die überwiegende Zahl aber bangt um ihren Urlaub."
"11","2020-12-02","internetbasiert","Urlaub: Maas will Reisewarnung aufheben – Merkel dringt auf Angleichung der Anti-Corona-Regeln. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/urlaub-maas-will-reisewarnung-aufheben-merkel-dringt-auf-angleichung-der-anti-corona-regeln/25841466.html","Berlin Die Chancen auf Urlaub am Mittelmeer steigen: Bundesaußenminister Heiko Maas verständigte sich am Montag mit seinen Kollegen aus zehn der beliebtesten Urlaubsländer der Deutschen darauf, auf eine Öffnung der Grenzen für Touristen bis zum Sommerbeginn hinzuarbeiten."
