"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-12-02","internetbasiert","Neuinfektionen: In China wächst die Angst vor der zweiten Corona-Welle – Peking riegelt Stadtviertel ab. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/neuinfektionen-in-china-waechst-die-angst-vor-der-zweiten-corona-welle-peking-riegelt-stadtviertel-ab/25916718.html","„Keine Fotos!“, brüllt einer der Polizisten, sobald man sein Handy zückt."
"2","2020-12-02","internetbasiert","Corona-Epidemie: Wie das Coronavirus die globale Tourismusbranche trifft. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/corona-epidemie-wie-das-coronavirus-die-globale-tourismusbranche-trifft/25557434.html","Und wie!“"
"3","2020-12-02","internetbasiert","Covid-19: US-Präsident Trump: „Ich wurde positiv auf Corona getestet“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/covid-19-us-praesident-trump-ich-wurde-positiv-auf-corona-getestet/26234620.html","Auch Ältere haben per Se kein höheres Risiko, sondern nur dann wenn sie durch ihren Lebenswandel, durch Vorerkrankungen und vor allem auch durch Medikamenteneinnahme immungeschwächt sind ! Wenn sich mehr Menschen informieren und sich dies klar machen würden, dann könnte ein Großteil der aktuell herrschenden irrationalen Angst und Hysterie überwunden werden."
"4","2020-12-02","internetbasiert","Covid-19: US-Präsident Trump: „Ich wurde positiv auf Corona getestet“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/covid-19-us-praesident-trump-ich-wurde-positiv-auf-corona-getestet/26234620.html","Die Coronavirus-Verharmloser, werden infiziert!"
"5","2020-12-02","internetbasiert","Covid-19: US-Präsident Trump: „Ich wurde positiv auf Corona getestet“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/covid-19-us-praesident-trump-ich-wurde-positiv-auf-corona-getestet/26234620.html","Bolsonaro, Johnson usw., und jetzt Trump!"
"6","2020-12-02","internetbasiert","Die verwundete Nation: Amerikas Offenbarungseid: Corona und die Systemfehler der USA. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/die-verwundete-nation-amerikas-offenbarungseid-corona-und-die-systemfehler-der-usa/25705402.html","Und dann: „Der nächste Gouverneur, bitte!“"
"7","2020-12-02","internetbasiert","Fredmund Malik im Interview: Unternehmensführung in Coronazeiten: „Kein Manager schläft mehr gut“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/management/fredmund-malik-im-interview-unternehmensfuehrung-in-coronazeiten-kein-manager-schlaeft-mehr-gut/25742870.html","Wir schaffen das!“"
"8","2020-12-02","internetbasiert","Coronakrise: Der Mittelstand kämpft um seine Existenz. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/mittelstand/coronakrise-der-mittelstand-kaempft-um-seine-existenz/25665606.html","„Bestellen Sie Online!“"
"9","2020-12-02","internetbasiert","Erneuerbare Energien: Solarbranche trotzt dem Coronavirus – aber fürchtet ein Ende der staatlichen Förderung. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/energie/erneuerbare-energien-solarbranche-trotzt-dem-coronavirus-aber-fuerchtet-ein-ende-der-staatlichen-foerderung/25770362.html","„Weit gefehlt!"
"10","2020-12-02","internetbasiert","Gastbeitrag: Die Coronakrise darf nicht zur Durchsetzung von Einzelinteressen missbraucht werden. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/gastbeitraege/gastbeitrag-die-coronakrise-darf-nicht-zur-durchsetzung-von-einzelinteressen-missbraucht-werden/25728010.html","Vergeuden Sie niemals eine gute Krise!"
"11","2020-12-02","internetbasiert","Gastbeitrag: Die Coronakrise darf nicht zur Durchsetzung von Einzelinteressen missbraucht werden. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/gastbeitraege/gastbeitrag-die-coronakrise-darf-nicht-zur-durchsetzung-von-einzelinteressen-missbraucht-werden/25728010.html","Hätte die Politik doch nur früher auf uns gehört!"
"12","2020-12-02","internetbasiert","Gastbeitrag: Die Coronakrise darf nicht zur Durchsetzung von Einzelinteressen missbraucht werden. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/gastbeitraege/gastbeitrag-die-coronakrise-darf-nicht-zur-durchsetzung-von-einzelinteressen-missbraucht-werden/25728010.html","Jetzt ist es an der Zeit!"
"13","2020-12-02","internetbasiert","Kommentar: Coronakrise: Wir brauchen den Ausstieg aus dem Stillstand. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/kommentare/kommentar-coronakrise-wir-brauchen-den-ausstieg-aus-dem-stillstand/25697942.html","Das Fazit: Wir haben das zwar geschafft!"
"14","2020-12-02","internetbasiert","Coronakrise: Erste US-Bundesstaaten kündigen Lockerung von Maßnahmen an. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/coronakrise-erste-us-bundesstaaten-kuendigen-lockerung-von-massnahmen-an/25752014.html","Auf Twitter schrieb der Republikaner in Großbuchstaben „Befreit Michigan!“, „Befreit Minnesota!“ und „Befreit Virginia“."
"15","2020-12-02","internetbasiert","Coronakrise: Erste US-Bundesstaaten kündigen Lockerung von Maßnahmen an. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/coronakrise-erste-us-bundesstaaten-kuendigen-lockerung-von-massnahmen-an/25752014.html","Auf Twitter schrieb der Republikaner in Großbuchstaben „Befreit Michigan!“, „Befreit Minnesota!“ und „Befreit Virginia“."
"16","2020-12-02","internetbasiert","Kommentar: Kein Impfstoff dieser Welt wird die Folgen der Corona-Pandemie heilen. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/kommentare/kommentar-kein-impfstoff-dieser-welt-wird-die-folgen-der-corona-pandemie-heilen/26609196.html","Aber Vorsicht!"
"17","2020-12-02","internetbasiert","Reaktionen auf Trumps Covid-Infektion: Biden will für Trump beten – Pelosi nennt Verzicht auf Maske „dreiste Einladung"" an das Virus. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/reaktionen-auf-trumps-covid-infektion-biden-will-fuer-trump-beten-pelosi-nennt-verzicht-auf-maske-dreiste-einladung-an-das-virus/26238018.html","„Stay strong and keep going!“ (etwa: „Bleib stark und lass Dich nicht unterkriegen!“) schrieb Macron am Freitag handschriftlich auf einer Karte, die an „Dear Donald“ adressiert und auf Facebook zu sehen war."
"18","2020-12-02","internetbasiert","Reaktionen auf Trumps Covid-Infektion: Biden will für Trump beten – Pelosi nennt Verzicht auf Maske „dreiste Einladung"" an das Virus. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/reaktionen-auf-trumps-covid-infektion-biden-will-fuer-trump-beten-pelosi-nennt-verzicht-auf-maske-dreiste-einladung-an-das-virus/26238018.html","„Stay strong and keep going!“ (etwa: „Bleib stark und lass Dich nicht unterkriegen!“) schrieb Macron am Freitag handschriftlich auf einer Karte, die an „Dear Donald“ adressiert und auf Facebook zu sehen war."
"19","2020-12-02","internetbasiert","Prüfers Kolumne: Dank Corona erfahren wir, wie es bei Kollegen daheim aussieht. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/gastbeitraege/pruefers-kolumne-dank-corona-erfahren-wir-wie-es-bei-kollegen-daheim-aussieht/25660698.html","So sieht es also bei demjenigen zu Hause aus!"
"20","2020-12-02","internetbasiert","Corona und Kulturevents: James Blunt gibt Geisterkonzert in der Elbphilharmonie. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/dienstleister/corona-und-kulturevents-james-blunt-gibt-geisterkonzert-in-der-elbphilharmonie/25637518.html","„The music must go on!“, schrieben die Musiker auf ihrer Webseite."
"21","2020-12-02","internetbasiert","Pandemie: Jair Bolsonaro mit Coronavirus infiziert – doch Brasiliens Präsident zeigt sich unerschrocken. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/pandemie-jair-bolsonaro-mit-coronavirus-infiziert-doch-brasiliens-praesident-zeigt-sich-unerschrocken/25984520.html","„Na und!“"
"22","2020-12-02","internetbasiert","Morning Briefing : Die brisante Corona-Ethik. handelsblatt.com, 2020-12-02","https://www.handelsblatt.com/meinung/morningbriefing/morning-briefing-die-brisante-corona-ethik-/25678982.html","„Ils sont fous, ces...!“, was man wahlweise mit Römer, Amerikaner, Ungarn oder anderen ausfüllen kann."
"23","2020-12-02","internetbasiert","Corona-Hotspots : Veranstalter klagen über „Lockdown durch die Hintertür“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/corona-hotspots-veranstalter-klagen-ueber-lockdown-durch-die-hintertuer/26285824.html","„Wir wollen nicht mehr Hilfsgelder, wir wollen Publikum!“"
"24","2020-12-02","internetbasiert","Kampf gegen Corona: Spahn stoppt Pläne für Immunitätsausweis nach Protesten. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/kampf-gegen-corona-spahn-stoppt-plaene-fuer-immunitaetsausweis-nach-protesten/25801000.html","„Richtig, dass dazu diese Woche keine gesetzliche Regelung kommt!"
"25","2020-12-02","internetbasiert","Kampf gegen Corona: Spahn stoppt Pläne für Immunitätsausweis nach Protesten. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/kampf-gegen-corona-spahn-stoppt-plaene-fuer-immunitaetsausweis-nach-protesten/25801000.html","„Denn das Thema ist von größter Bedeutung!“"
"26","2020-12-02","internetbasiert","Coronavirus: San Francisco riegelt sich ab – Report aus einer Geisterstadt. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/coronavirus-san-francisco-riegelt-sich-ab-report-aus-einer-geisterstadt/25651860.html","Die Anordnung heißt: Zuhause bleiben!"
"27","2020-12-02","internetbasiert","Tesla-Zahlen: Elon Musk feiert Tesla-Profit und wettert gegen Corona-Maßnahmen. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/industrie/tesla-zahlen-elon-musk-feiert-tesla-profit-und-wettert-gegen-corona-massnahmen/25790188.html","„Gebt den Menschen ihre verdammte Freiheit zurück!“, sagt er schließlich und beantwortet bereits eine Minute später wieder einem Analysten eine Frage nach den Margen des neuen Modells Y."
"28","2020-12-02","internetbasiert","Coronakrise: Steuerzahlerbund formuliert Forderungen und Bedingungen für Staatshilfe. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/coronakrise-steuerzahlerbund-formuliert-forderungen-und-bedingungen-fuer-staatshilfe/25791506.html","„Dabei muss die Regel gelten: Direkte Kapitalspritzen für Unternehmen durch die Steuerzahler dürfen nur das letzte Mittel sein!“"
"29","2020-12-02","internetbasiert","Analyse-Serie: „Global Challenges“: Wie Corona Europas Position stärken kann. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/gastbeitraege/analyse-serie-global-challenges-wie-corona-europas-position-staerken-kann/25966888.html","Außerdem sagte China zu, einen neuen Corona-Impfstoff mit der Welt zu teilen – welch ein Unterschied zur America-first-Politik, die einen solchen Impfstoff zunächst nur innerhalb der USA nutzen würde!"
"30","2020-12-02","internetbasiert","Coronahilfen: Heiß begehrt, aber unerreichbar: Zusatzgelder für Kleinunternehmen in Bremen sind nicht mehr möglich. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/coronahilfen-heiss-begehrt-aber-unerreichbar-zusatzgelder-fuer-kleinunternehmen-in-bremen-sind-nicht-mehr-moeglich/25725574.html","„Es sind genug Mittel da, es gilt NICHT das Windhundprinzip!"
