"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-12-02","internetbasiert","Politik: Merkel beschwört Solidarität im Kampf gegen Corona-Pandemie. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/dpa/politik-merkel-beschwoert-solidaritaet-im-kampf-gegen-corona-pandemie/26660422.html","„Weihnachten wird damit zu einem Fest mit einem Todesrisiko für manche Menschen”, sagte der Vorsitzende des Weltärztebundes, Frank Ulrich Montgomery, SWR Aktuell."
"2","2020-12-02","internetbasiert","Pharmaindustrie: Biotechs wollen sich im Kampf gegen Covid-19 beweisen – und so mehr Geldgeber gewinnen. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/industrie/pharmaindustrie-biotechs-wollen-sich-im-kampf-gegen-covid-19-beweisen-und-so-mehr-geldgeber-gewinnen/25776994.html","Schacht räumt dabei ein, dass für manche Unternehmen das Finanzierungsumfeld auch schwieriger werden könnte."
"3","2020-12-02","internetbasiert","Corona-Beschränkungen: Die Angst vor dem zweiten Lockdown: Was bleibt von unserer Freiheit?. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/corona-beschraenkungen-die-angst-vor-dem-zweiten-lockdown-was-bleibt-von-unserer-freiheit/26297808.html","Doch inanderen Staatengelang manches sogarnoch besser."
"4","2020-12-02","internetbasiert","Corona-Proteste: Politikwissenschaftler Oberreuter: „Verschwörungstheorien zu verfallen ist dumm“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/corona-proteste-politikwissenschaftler-oberreuter-verschwoerungstheorien-zu-verfallen-ist-dumm/25834860.html","Auch die Vorhaltungen mancher Protestler an die Regierenden, dass man hierzulande seiner Meinung nicht mehr frei äußern dürfe, hält der Politikprofessor Oberreuter für abwegig."
"5","2020-12-02","internetbasiert","Buchrezension: Der überforderte Staat: Ifo-Chef Fuest warnt vor einer „Coronasklerose“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/arts_und_style/literatur/wirtschaftsbuchpreis/buchrezension-der-ueberforderte-staat-ifo-chef-fuest-warnt-vor-einer-coronasklerose/26192812.html","Der Anspruch ist damit gesetzt – und mancher Leser könnte allein den Titel als intellektuelle Anmaßung empfinden."
"6","2020-12-02","internetbasiert","Neuinfektionen: In China wächst die Angst vor der zweiten Corona-Welle – Peking riegelt Stadtviertel ab. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/neuinfektionen-in-china-waechst-die-angst-vor-der-zweiten-corona-welle-peking-riegelt-stadtviertel-ab/25916718.html","Manche Lokalregierungen warnten gar vor Reisen nach Peking."
"7","2020-12-02","internetbasiert","Corona-Epidemie: Wie das Coronavirus die globale Tourismusbranche trifft. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/corona-epidemie-wie-das-coronavirus-die-globale-tourismusbranche-trifft/25557434.html","Manche Länder mussten wegen der fehlenden Touristen bereits ihre Wachstumsprognosen nach unten korrigieren."
"8","2020-12-02","internetbasiert","Coronahilfen: Altmaier schlägt 25-Milliarden-Euro-Programm für den Mittelstand vor. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/deutschland/coronahilfen-altmaier-schlaegt-25-milliarden-euro-programm-fuer-den-mittelstand-vor/25857216.html","Manchen Unternehmen bleibe schlicht keine Zeit mehr."
"9","2020-12-02","internetbasiert","Erneuerbare Energien: Solarbranche trotzt dem Coronavirus – aber fürchtet ein Ende der staatlichen Förderung. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/energie/erneuerbare-energien-solarbranche-trotzt-dem-coronavirus-aber-fuerchtet-ein-ende-der-staatlichen-foerderung/25770362.html","Die ehemals teuerste der erneuerbaren Energien ist heute in manchen Ländern der Welt schon billiger als ein neues Kohle- oder Gaskraftwerk."
"10","2020-12-02","internetbasiert","Erneuerbare Energien: Solarbranche trotzt dem Coronavirus – aber fürchtet ein Ende der staatlichen Förderung. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/unternehmen/energie/erneuerbare-energien-solarbranche-trotzt-dem-coronavirus-aber-fuerchtet-ein-ende-der-staatlichen-foerderung/25770362.html","So kostet eine Kilowattstunde Solarstrom in der Herstellung nur noch zwischen vier und fünf Cent, in manchen besonders sonnenreichen Regionen sogar noch weniger."
"11","2020-12-02","internetbasiert","Corona-Rezession: Ökonom: „Italien ist in manchen Sektoren wichtiger für deutsche Industrie als China“. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/konjunktur/nachrichten/corona-rezession-oekonom-italien-ist-in-manchen-sektoren-wichtiger-fuer-deutsche-industrie-als-china/25705158.html","Eine weitere Erkenntnis des Ökonomen: „Gerade Italien ist in manchen Sektoren sogar wichtiger für die deutsche Industrie als China.“"
"12","2020-12-02","internetbasiert","Kommentar: Deutschland muss in der Coronakrise auch anderen Ländern auf die Beine helfen. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/kommentare/kommentar-deutschland-muss-in-der-coronakrise-auch-anderen-laendern-auf-die-beine-helfen/25778408.html","Schließlich könnte dann auch so manches Unternehmen ohne tragfähiges Geschäftsmodell künstlich am Leben erhalten werden."
"13","2020-12-02","internetbasiert","Kommentar: Trotz geringer Covid-Fälle: China ist kein Vorbild bei der Corona-Bekämpfung. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/kommentare/kommentar-trotz-geringer-covid-faelle-china-ist-kein-vorbild-bei-der-corona-bekaempfung/26605314.html","In manchen Fällen sogar ohne die Möglichkeit, ihre Wohnungen bei Gefahr zu verlassen."
"14","2020-12-02","internetbasiert","Gastkommentar: Wie eine Corona-Ökonomie aussehen muss. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/gastbeitraege/gastkommentar-wie-eine-corona-oekonomie-aussehen-muss/25642468.html","Bedenklich ist die Teilkapitulation mancher Regierungen, die sich ostentativ damit begnügen, die Durchseuchung der Gesellschaft zu verlangsamen, anstatt sie zu verhindern."
"15","2020-12-02","internetbasiert","Kommentar: Die Politik darf im Kampf gegen Corona nicht das Maß verlieren. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/meinung/kommentare/kommentar-die-politik-darf-im-kampf-gegen-corona-nicht-das-mass-verlieren/25729810.html","Mancher mag sich inzwischen fragen, was die unberechenbarere Größe ist: das Virus oder die politischen Akteure, die es mit allen Mitteln bekämpfen – was immer es auch kosten mag."
"16","2020-12-02","internetbasiert","Reaktionen auf Trumps Covid-Infektion: Biden will für Trump beten – Pelosi nennt Verzicht auf Maske „dreiste Einladung"" an das Virus. Handelsblatt_De, 2020-12-02","https://www.handelsblatt.com/politik/international/reaktionen-auf-trumps-covid-infektion-biden-will-fuer-trump-beten-pelosi-nennt-verzicht-auf-maske-dreiste-einladung-an-das-virus/26238018.html","Man denke in solch einer Zeit über manches nach und werde demütiger."
