,text,label,span
idx,,,
21b3ffd9-9bd4-41a7-80cc-bce196bd0231,Kreative Köpfe und Querdenker sind bei uns ausdrücklich willkommen!,web1,"[19, 29]"
f0c82b36-6a28-4846-a6ae-296be8a4904d,"Der Querdenker bezeichnet sich selbst als „Anti-Dogmatiker“ und macht sich zum einen dafür stark, nicht in Teildisziplinen zu denken, zum anderen dafür, der Welt nicht mit einem einzigen selig machenden Modell zu begegnen.",web1,"[4, 14]"
050d8c07-70b3-4c71-8851-27ffcdfcaef3,Neben den aktuellen und strategischen Plänen der Gegenwart und Zukunft durften wir uns in emotionaler Runde von einem Vor-und Querdenker der Gruppe – Huub van Dijk – verabschieden.,web1,"[126, 136]"
bceb95ff-e1e6-4cbc-9fd2-6bfe5eff954f,"Das ist es, was Sie, Herr Birk, nicht verstanden haben und das ist mittlerweile die Stärke und Beharrlichkeit in der Argumentation der Masse der Querdenker.",web1,"[145, 155]"
f844b2ef-cfb7-432a-aacc-24e6910d3309,"Mich persönlich inspirieren mutige Querdenker wie Bob Goff, die “out of the box” agieren und meine Gehirnwindungen anregen.",web1,"[35, 45]"
2e3e7bf7-0e04-4c0c-bd76-0404239b79e4,"Einige Leute sehen Julian Assange als einen Kämpfer für die Pressefreiheit, andere als gefährlichen Querdenker.",web1,"[100, 110]"
5e2eab40-e78e-4233-a0f5-271f883574d4,"(…) Ziehen die Querdenker, die AfD und die Alternativen Medien gemeinsam an einem Strang, dann hat die derzeit herrschende Elite ein ernsthaftes Problem.",web1,"[15, 25]"
661aa5d2-333c-41b5-b36d-4f9ab17ca51f,"Ein Meister-Improvisator, Historiker, Querdenker, Philosoph, Multiinstrumentalist und Chef auf allen Gebieten.",web1,"[38, 48]"
1daa06f0-912c-4c05-8964-b438d86e87ef,Und nicht jeder der die Maßnahmen der Regierung kritisiert ist ein Querdenker.,web1,"[67, 77]"
d6be2632-7a1c-48e9-8d55-a9395830f381,Außerdem würde ich Schnelltests für Querdenker anbieten und mein „Benehmen insgesamt bekannt“ sein.,web1,"[36, 46]"
83f38bbe-a229-4201-8554-91017848283c,"Ich würde mir wünschen, dass ihr Querdenker nur halb so viel Zeit damit verbringt, Menschen wie mich zu verstehen, wie ich es mit euch versuche.",web1,"[33, 43]"
3ed607e5-23ac-46bd-966b-46835f6f2262,"Er entpuppt sich indes auch auf anderen Gebieten als Querdenker, wovon die Schrift Kampf ums Dasein – Metapolitische Essays am Puls der Zeit beredtes Zeugnis ablegt.",web1,"[53, 63]"
c51775b4-e09d-4089-a30a-592ff3e68d1d,"In Berlin abgeschoben, in Darmstadt mit 14 Treffern maßgeblich am Bundesliga-Klassenerhalt 2015/16 beteiligt, wurde der Querdenker, der kein Blatt vor den Mund nahm, schließlich gar Nationalspieler.",web1,"[120, 130]"
289f8c32-b84e-4edf-85a0-5423f44e9142,"Als Physiker fällt mir immer wieder auf, wie sehr sich bekannte „Querdenker“ (oder ähnliche Leute) auf wissenschaftliche Studien berufen und sich sehr informiert zeigen.",web1,"[65, 75]"
5c469646-62cc-4468-95e8-c563c4d79251,Reiseaventüren eines Querdenkers.,web1,"[21, 31]"
e2d654f1-4d2b-4360-af3d-952a561a3626,Das war die Vorgabe von Querdenker und Visionär Jürgen Mangelberger.,web1,"[24, 34]"
72b075dd-7725-421b-b355-5ffbd1423146,"Er weckt ganz nach dem kontaktfreudigen Wissenschaftler und Querdenker Galileo Galilei das Interesse an Themen und ist Wissenschaftstreffpunkt für Familien, Touristen, Studenten und Geschäftsleute aus dem Sauerland und darüber hinaus.",web1,"[60, 70]"
56f30deb-2e25-48c7-85b6-47d5d631b283,"„Viele Organisationen sagen, sie wollen die Querdenker und Kritiker.",web1,"[44, 54]"
f4d34f08-2f92-470b-bf21-a9a8c86a0238,"Und ob nun als Corona-Leugner oder -Befürworter – obwohl Befürworter sicher das falsche Wort ist -, wir sind für den jeweils anderen die „Querdenker“ oder „Schwurbler“.",web1,"[138, 148]"
c07aa2d0-f63f-4d4f-9570-658b09618c6e,"Wie sehen Sie denn eigentlich die Verantwortung der so genannten Covidioten bzw. der Querdenker, müsste der Staat hier mehr tun?",web1,"[85, 95]"
11a9b8de-140c-4680-8e1b-2f542fd65e65,Auf einer Querdenker Demo dürften sie das nämlich wegen ihrer ach so tollen BRD Polizei Söldner nicht mehr!,web1,"[10, 20]"
adceb314-c623-4ba4-9061-644aa18d5b13,"„Querdenker“, damit meine ich ausdrücklich die grölenden und geifernden Menschen, die sich in einer „Corona-Diktatur“ wähnen, nicht eventuell Firmen, Gruppen oder sonstige harmlose Zeitgenossen, die leider ihren (viel länger bestehenden) Namen nun mit dieser wildgewordenen Gruppe von wutschnaubenden Wachhunden teilen müssen.",web1,"[1, 11]"
