,text,label,span
idx,,,
d35c3ca8-761c-445b-9418-92531b7ddf7b,"Es bildet sich während einer akuten Infektion, wenn die Immunzellen die Viren oder Bakterien eindämmen und die Symptome langsam abklingen.",web1,"[72, 77]"
fb0c6cda-4db7-4c63-bb87-95f69ca475ff,"Greta hat das Virus gezüchtet, um die Wirtschaft zusammenbrechen zu lassen und so den CO2-Ausstoß zu senken.)",web1,"[14, 19]"
15a3307e-0651-45a0-aaa6-8a763790db4b,"Die Kontrahenten, die selbst mit Blick auf das Virus zur Risikogruppe gehören, erklärten, sie träfen allerlei Vorkehrungen, um sich vor einer Ansteckung zu schützen: vorerst keine großen Wahlkampfauftritte mehr, sondern nur virtuelle Kundgebungen, Heimarbeit ihres Personals, häufiges Händewaschen.",web1,"[47, 52]"
6990f660-7aac-47d2-be6d-f1b6ecb1738c,"Cookies können nicht verwendet werden, um Programme zu starten oder Viren auf einen Computer zu übertragen.",web1,"[68, 73]"
2429457d-9d2b-414a-90c6-824918ba8b18,"Zugvögel sind die Hauptwirte des Virus und übertragen den Erreger auf Stechmücken, die beim Stechen das Blut der Vögel aufnehmen.",web1,"[33, 38]"
3be8f651-9d57-4851-b256-73cd6ea41b30,Was sind eigentlich Viren?,web1,"[20, 25]"
0e865a21-b4ff-4c4b-8516-d8e4b7d5cc76,Cookies richten auf Ihrem Rechner keinen Schaden an und enthalten keine Viren.,web1,"[72, 77]"
3804d986-0a59-4b15-8e04-1a36faa731ab,Hände berühren viele Oberflächen und können Viren aufnehmen.,web1,"[44, 49]"
f279734d-4303-4d84-b41b-0328d5df0938,"Was bleibt, wenn wir in diesem Jahr zum Beispiel wegen des Corona Virus nicht zusammen sein können?",web1,"[66, 71]"
730c005d-ab45-4189-91b7-2fcf1b1a2edb,"Die Virushepatitis, deren Ursache meist Hepatitis A, B, C, D oder E Viren sind, ist gekennzeichnet durch Übelkeit, Erbrechen, Bauchschmerzen, leichtes Fieber und Gelbfärbung der Haut.",web1,"[4, 9]"
058f7334-7d1e-43dc-a8ac-6c70e56fdcc7,"Die Ergebnisse lassen sich gut auf Tröpfchen anwenden, über die das Virus bevorzugt übertragen wird.",web1,"[68, 73]"
c14bc75f-1436-4214-81a3-14de48aee85c,"Auch wenn die Zahl der COVID-19-Erkrankungen seit Wochen rückläufig ist, besiegt ist der Virus noch lange nicht.",web1,"[89, 94]"
1fed35ce-91a3-4c34-8196-e722044d7375,"Wenn eine der Pflanzen nun ""plötzlich"" krank wird (zb. durch einen Virus, den sie schon inne hatte, der nun ausbricht) steckt sie ganz schnell die anderen Mitbewohner an und kaum daß man sich versieht, kann man den ganzen Kasten entsorgen.",web1,"[67, 72]"
3b765649-7508-456b-b3a9-2ed0f929fcba,"„Ich habe eine wissenschaftliche Studie über Chloroquin und Viren durchgeführt, die vor dreizehn Jahren veröffentlicht wurde.",web1,"[60, 65]"
54087aec-cf52-4050-ae49-574571a1ba42,"Die Entscheidung, diese kulturellen Einrichtungen der Landeshauptstadt Saarbrücken vorerst bis zum 10. April 2020 zu schließen, ist eine notwendige Vorsichtsmaßnahme, um die Ausbreitung des Virus zu verlangsamen, Zeit zu gewinnen und die Gesundheit aller Menschen, der Besucherinnen und Besucher sowie der Mitarbeiterinnen und Mitarbeiter in den Institutionen zu schützen.",web1,"[190, 195]"
138cd9d7-6139-4933-99f7-6f3df0481256,"Eine weitere mögliche Ursache für Entzündungen des Augenlidrandes ist die Infektion mit Bakterien, Viren oder Mikroben wie Zecken oder Läusen.",web1,"[99, 104]"
a62b339a-8cbc-44c3-9c22-bed3dda5a3cf,Cookies richten auf Ihrem Rechner keinen Schaden an und enthalten keine Viren.,web1,"[72, 77]"
7813215c-dff9-48be-8bed-3bad63bb688a,Auch Spieler sollten ihren PC regelmäßig auf Viren überprüfen.,web1,"[45, 50]"
a5a6133f-4af5-4b0c-b9a4-9028bc92114d,"Unsere Behandlungs- und Wartezimmer sind mit Hochdruck-Plasma-Luftreinigern und -Desinfektoren ausgestattet, die bis zu 99,97% aller Viren und Bakterien in der Luft unschädlich machen.",web1,"[133, 138]"
ca9b9548-d561-49d4-b950-cfdf7085ff2d,Das Corona Virus grassiert und damit gehen zahlreiche Maßnahmen einher.,web1,"[11, 16]"
020ef1c0-abdc-433f-bde7-383605360228,"In Großbritannien, wo Recycling-Zentren nicht als unverzichtbar gelten, haben einige Stadtverwaltungen die Müllabfuhr reduziert, während andere das Recycling ganz eingestellt haben, um einen engen Kontakt zwischen den Menschen und somit eine mögliche Verbreitung des Virus zu verhindern.",web1,"[267, 272]"
470100e6-fef3-4c48-95a4-f84b65254926,"Unser Immunsystem schützt uns im Optimalfall recht gut vor Eindringlingen wie Viren, Bakterien und Pilzen.",web1,"[78, 83]"
52fac2a3-7352-4037-9496-2a57376945fa,"Auf Ihrer Seite sind ja noch weitere Menschen angegeben wie unter Anderem Claus Köhnlein, der sich des Themas Viren, besonders in Verbindung mit Impfungen, auch angenommen hat.",web1,"[110, 115]"
90d9cf5a-9306-4994-ad07-0dd6e19c7d3c,"Wir können uns mit einem Virus arrangieren oder es zu besiegen versuchen, doch fatal wenn wir nicht Gott um seine Hilfe bitten.",web1,"[25, 30]"
9ee16f1f-3218-46b1-a8b3-7040463700b3,Einfach - Kontaktlos - Sicher - Schnell Wichtige Informationen zu Corona (SARS-CoV-2/CoViD-19) Unbedingt tun Besser lassen Wie wird das Virus übertragen?,web1,"[136, 141]"
7d1bae3e-0d54-40ad-a625-4c6286dbb674,"Wir ziehen uns in den panic room zurück und sind ganz leise, damit uns das Virus nicht hört.",web1,"[75, 80]"
1759ac34-b81a-4633-bc85-b79da0237ba0,"Viren werden oft als superkleine Lebewesen angesehen, die noch kleiner sind und noch raffinierter ihrem „bösen“ Werk nachgehen als die Bakterien.",web1,"[0, 5]"
02bc7840-0089-4285-b514-a9d30f06eab8,Und es ist doch kein natürliches Virus? –,web1,"[33, 38]"
b8bf16a3-5a12-4ff1-9b37-6ea0d198a3d5,"Dabei erfährt man, dass das Patent einen aviären Coronavirus abdeckt, also einen Virus, der nur Vögel befällt.",web1,"[81, 86]"
df6f871a-7464-4104-868d-069be48bc594,Das teilte der spanische Gesundheitsminister Salvador Illa am Dienstag mit und begründete die Maßnahme mit der Ansteckungsgefahr durch das Virus.,web1,"[139, 144]"
950f26f3-cf52-47ef-a5b1-4685cb512055,✓ Keine Ansammlung von Viren im Gerät.,web1,"[23, 28]"
6346a5a9-a3bf-45b0-ae83-75fa8027ae33,Herr Virus fühlte sich offenbar nicht angegriffen.,web1,"[5, 10]"
164cea80-faa2-49af-beea-baeab846df0e,"Die Erkenntnis, unter dem Vorwand der Fürsorglichkeit betrogen und hintergangen worden zu sein, wird viele von denen, die jetzt noch im Panikmodus verharren, aus ihrer bisherigen Haltung herausreißen und ihnen klarmachen, dass nicht etwa ein Virus das Leben auf diesem Planten bedroht, sondern eine winzige ultramächtige Minderheit, die mit Hilfe von ihr hörigen Politikern, Journalisten und Wissenschaftlern die vollständige Kontrolle an sich reißen und die Menschheit in die Dunkelheit eines digital-finanziellen Faschismus führen will.",web1,"[242, 247]"
3ae26673-2c3e-488c-a834-d14355c87e86,"Beim Überlaufen von kontaminierten Flächen bleiben Bakterien, Viren, Pilze und auch Parasiten an den Körpern haften und werden so weitergegeben.",web1,"[62, 67]"
b8631e84-fa42-4dd5-b2e1-f25d914d43da,"Da es um eine unsichtbare Gefahr, ein infektiöses Virus geht, sind Ausgangsbeschränkungen ein drastisches Mittel, das von vielen Experten empfohlen wird.",web1,"[50, 55]"
4d54b564-6a70-4200-ab03-9c31caf64f54,Ein tödlicher Virus würde nicht innerhalb des Ziellandes Halt machen.,web1,"[14, 19]"
cd66952b-da73-4701-a511-f80a24a34c96,"Heutzutage gibt es nicht nur „normale“ Viren, sondern auch Phishing Angriffe, Malware oder Trojaner, die einem das Leben schwer machen können.",web1,"[39, 44]"
898b4272-3538-4f96-9230-732fccccaaa8,Cookies richten auf Ihrem Rechner keinen Schaden an und enthalten keine Viren.,web1,"[72, 77]"
61ab9064-026d-4cb4-ad35-124c37984715,Cookies richten auf Ihrem Rechner keinen Schaden an und enthalten keine Viren.,web1,"[72, 77]"
1bf70233-dc66-4e95-9947-c415e42f6420,"Unsere Masken eignen sich für den professionellen Einsatz in Kliniken, Praxen und Pflegeeinrichtungen sowie für den alltäglichen Schutz vor Corona- und anderen Viren im privaten Umfeld.",web1,"[160, 165]"
4fd53662-c9e8-4045-9cf3-df49eee173e5,"Die Tiere sind massiv gestresst und scheiden entsprechend aus – auch Viren», sagt der Wildtierarzt Christian Walzer von der Veterinärmedizinischen Universität Wien, «Es gibt keinen besseren Weg, um neue Viren entstehen zu lassen.»",web1,"[69, 74]"
4e91f1ab-a1c6-4024-b154-fdf52a6f9e5d,"Doch der Frühling und Sommer kam, die Viren verzogen sich und die Umsetzung lag brach … bis …",web1,"[38, 43]"
e044d4c8-a9a1-4dfa-af41-1b3e5f8d8023,«In diesem Jahr konnten sich die Viren aufgrund der Hitze besonders gut vermehren.,web1,"[33, 38]"
