,text,label,span
idx,,,
76db281a-5a35-4f71-85d2-7de52f3b7ae4,Inzwischen gibt es unzählige Physiotherapiepraxen und Fitnessstudios - und manche davon nennen sich inzwischen sogar „Gesundheitsstudios“.,web1,"[75, 81]"
da2c7c3f-391d-42cc-a154-367c6408dade,"Landestypische Spezialitäten und Produkte, aber auch frisches Obst und Gemüse aus der Region sowie ebenfalls manche Kleinkunst finden sie im bunten Angebot.",web1,"[109, 115]"
eea50655-7b23-4ea3-b26e-d41d7b511409,"So manche große Gruppe bezweifelt vielleicht zunächst, dass es ausreichend große Fincas oder Ferienhäuser ab 16 oder 17 Personen auf Mallorca gibt.",web1,"[3, 9]"
762e05fb-62ee-4fff-9f5a-0ee828a1f78b,Eine engere mit der Natur verbundene Urlaubsdestination kann sich mancher kaum ausmalen.,web1,"[66, 72]"
9fd1a8ea-2a07-4c9c-84d3-4bf30c2c0d29,"Auch unsere Villen bieten fast alle Meerblick, manche sind sogar in erster Meereslinie gelegen.",web1,"[47, 53]"
d519887f-3aee-4089-be5e-6a1240100651,Das Ortsbild von Lloseta gleicht in seiner Zeitlosigkeit mancher anderen Kleinstadt auf der Insel und bietet drei herausragende Sehenswürdigkeiten:,web1,"[57, 63]"
37a6dc51-00e4-4a46-a200-f68917b94ab0,"Sehr geehrte Besucher, Es kann derzeit vorkommen, dass manche Artikel fälschlich als ""auf Lager befindlich"" angezeigt werden, trotzdem eine Lieferung Covid19-bedingt tatsächlich möglicherweise nur verzögert erfolgen kann.",web1,"[55, 61]"
6d57ca10-ca8e-4509-8033-11a6761e4c13,Betrifft die Lieferbarkeit mancher Artikel,web1,"[27, 33]"
da3f31e2-e786-44ba-8d3c-e0a646dd71f2,"Sehr geehrte Besucher, Es kann derzeit vorkommen, dass manche Artikel fälschlich als ""auf Lager befindlich"" angezeigt werden, trotzdem eine Lieferung Covid19-bedingt tatsächlich möglicherweise nur verzögert erfolgen kann.",web1,"[55, 61]"
