,text,label,span
idx,,,
7edb6b31-0cb5-4488-935e-e61ae5615780,"Das ist auch der Grund warum sich das Buch eigentlich für jeden, der sich mit der Fotografie auseinander setzt sehr gut eignet.",web1,"[23, 28]"
9906c3d9-f0ab-4168-ac97-8a2e5d454db4,"Das ist auch der Grund dafür, warum der erste Aufbau des Gestells mit 20 Minuten, doch recht viel Zeit in Anspruch genommen hat.",web1,"[30, 35]"
6b1fb7a6-78c9-4588-9a06-da66b501932d,Warum also nicht einmal speziell zum Golfen nach Mallorca?,web1,"[0, 5]"
639f9d7d-c16f-4f63-87bb-e28eba938a97,"Es kann unterschiedliche Ursachen haben, warum sich ein Bonprix Gutscheincode nicht aktivieren lässt.",web1,"[41, 46]"
d58846a8-a178-4883-b339-0906c6faf1a1,"Ebenso ist ein erneuter Blick in die Bestimmungen zu empfehlen, wenn der Revolut Gutschein warum auch immer nicht genutzt werden kann.",web1,"[91, 96]"
9aacdb5f-ad6f-4974-abe5-b8989bb2f6c5,Warum verwendest du nicht dann einfach einen unserer Gutscheine?,web1,"[0, 5]"
939f4266-7c02-471c-a254-5da1d258fb2d,"Wenn Sie bei uns Ihr EU-Auto online kaufen, erfahren Sie auch warum: zahlreiche Außenfarben, variable Ausstattungspakete, intelligente Technologien und vieles mehr.",web1,"[62, 67]"
4c3146e5-631c-4b2c-87ff-994724ebc8b1,Warum mit UNS in die Türkei.,web1,"[0, 5]"
2e4e2e45-bdd3-4910-8791-e855d5a749e4,Warum in der Türkei?,web1,"[0, 5]"
72928f3b-fb07-4521-8273-5481bfa542d0,Warum mit dem Team von künstlicher Befruchtung in die Türkei.,web1,"[0, 5]"
94b4b137-c017-4ef5-b3ad-a0bfa3dc4d27,Warum in der Türkei?,web1,"[0, 5]"
6a1e310c-f299-4c4c-8f06-85c980a1054a,Hier finden Sie Finanzierungsangebote: http://kuenstliche-befruchtung-im-ausland.com Warum mit UNS in die Türkei.,web1,"[85, 90]"
aea8e9e3-fd51-4fa3-ab36-6aefeb8e5bcb,Warum in der Türkei?,web1,"[0, 5]"
ae3d25c8-25d0-4af8-b3eb-ff224908029a,Warum mit dem Team von künstlicher Befruchtung in die Türkei.,web1,"[0, 5]"
90d40087-7951-4fed-b43b-4e1f013fa0ca,Warum in der Türkei?,web1,"[0, 5]"
30775770-2034-4e75-885e-fbc6e911ed6d,Warum mit UNS in die Türkei.,web1,"[0, 5]"
e2a291be-ad2d-4232-a2f8-8eec3cc9b99b,Warum in der Türkei?,web1,"[0, 5]"
9f66953b-d1a7-49d9-b4bd-6cede271996f,Warum mit uns?,web1,"[0, 5]"
2941c5e8-48b4-4581-9e3e-27b637a287ff,Hier finden Sie Finanzierungsangebote: http://kuenstliche-befruchtung-im-ausland.com Warum mit UNS in die Türkei.,web1,"[85, 90]"
51bb87b8-9959-4f55-9b0c-849901dd9941,Warum in der Türkei?,web1,"[0, 5]"
997bdc76-9288-4f31-ab95-0a45abb36568,Warum mit dem Team von künstlicher Befruchtung in die Türkei.,web1,"[0, 5]"
c3d0a45c-34d4-48de-bba9-64ba23fe8e68,Warum in der Türkei?,web1,"[0, 5]"
f5226daa-71ec-4d6e-8ed0-75069830bc54,Warum mit dem Team von künstlicher Befruchtung in die Türkei.,web1,"[0, 5]"
2b5bc78b-b206-40ec-a08c-ea4e46c077aa,Warum in der Türkei?,web1,"[0, 5]"
efca2642-0fcc-491e-ab03-0062a4ab4c45,Warum mit uns in die Türkei.,web1,"[0, 5]"
525024eb-a9b5-4628-8dad-79b0c797d05c,Warum mit UNS in die Türkei.,web1,"[0, 5]"
9fab3f74-eaeb-42a8-afeb-12a4404088e1,Warum in der Türkei?,web1,"[0, 5]"
f2fab513-347e-4a3f-abcd-b145a8e61b89,Warum mit uns in die Türkei:,web1,"[0, 5]"
38af60c0-ee0f-4175-939c-f1c8538135c7,Warum mit uns?,web1,"[0, 5]"
15d515a0-d811-4082-ac7d-d92f8d93f309,Hier finden Sie Finanzierungsangebote: http://kuenstliche-befruchtung-im-ausland.com Flughafentransfer Warum mit dem Team von künstlicher Befruchtung in die Türkei.,web1,"[103, 108]"
bb96d650-729a-4ce0-9964-ab2c0e2b915a,Warum in der Türkei?,web1,"[0, 5]"
0648749d-07a4-40e9-b33e-f6e8e8c8108c,"Wie Tausende anderer Frauen, die mit der Belastung und Ungewissheit der Unfruchtbarkeit konfrontiert sind, möchten auch Sie wissen, warum Sie und Ihr Partner kein Kind bekommen können.",web1,"[132, 137]"
04395e25-9346-4502-85fd-9781c4ac0b50,Warum mit uns?,web1,"[0, 5]"
b36f1cb3-aeed-4a3f-9004-49f8ff461558,Warum mit dem Team von künstlicher Befruchtung in die Türkei.,web1,"[0, 5]"
59489808-ae21-4310-b3d6-ec6306857f1d,Warum in der Türkei?,web1,"[0, 5]"
2d0a2c1c-cd25-417f-b6c1-5651bf3997de,Warum mit UNS in die Türkei.,web1,"[0, 5]"
4389a569-87ea-4312-bbb5-a7a4d32cf479,Warum in der Türkei?,web1,"[0, 5]"
b6dd8079-4a85-4dec-9f62-5f02ff31d544,Hier finden Sie Finanzierungsangebote: http://kuenstliche-befruchtung-im-ausland.com Warum mit UNS in die Türkei.,web1,"[85, 90]"
8044b624-459a-4922-993a-b5c07b1d56aa,Warum in der Türkei?,web1,"[0, 5]"
866319eb-04a2-434d-b6b4-05e0de6998ed,Warum mit UNS in die Türkei.,web1,"[0, 5]"
7029a496-1da1-4bc3-be53-a4b5f4a3f162,Warum in der Türkei?,web1,"[0, 5]"
394e9ee8-2887-470a-9e84-70f8f7834c48,Warum mit uns in die Türkei.,web1,"[0, 5]"
873bb0e4-d4b4-4e24-af9d-ceee2a93c79b,Warum mit dem Team von künstlicher Befruchtung in die Türkei.,web1,"[0, 5]"
7308a57b-bc09-4eec-9561-e98033724dcf,Warum in der Türkei?,web1,"[0, 5]"
a55dffb6-2af2-40d1-96a2-25386b24cfdb,"Doch warum immer mehr und immer neue Whiskymarken, Whiskysorten und limitierte Abfüllungen, wenn es doch schon so viele gute weltweit gibt?",web1,"[5, 10]"
aeac6556-b8ef-477d-bcab-99003a9bb0cf,"Um zu verstehen, warum Sailltmór nicht einfach nur ein weiterer deutscher Whisky ist, muss man sich einen Moment lang mit dem Dürkheimer Wahrzeichen, der Saline, oder auch Gradierwerk genannt, befassen.",web1,"[17, 22]"
15f69c59-72b6-424a-bfbe-dd272ce9c3d9,Warum das alles?,web1,"[0, 5]"
e454fd05-62c8-4bbc-ab4f-8b49a2750f3d,Warum also nicht auch Whisky herstellen?,web1,"[0, 5]"
67315a1b-349c-47ae-a9ca-36d0fe66ebc5,"Doch warum immer mehr und immer neue Marken, Sorten und Abfüllungen, wenn es doch schon so viele gute weltweit gibt?",web1,"[5, 10]"
8af7c341-b6af-4d64-adfd-bbcb8cf62a20,"Den meisten Menschen sei nicht bewußt, warum ein unter biologischen Aspekten produzierter Gin etwas besonderes ist, meint der Feel-Gin Hersteller und erläutert:",web1,"[39, 44]"
35657927-c9a1-4671-aef8-2791103118df,Warum ist Asbestbeseitigung gefährlich?,web1,"[0, 5]"
dbdaf621-1c2c-4ff0-acbd-98472e878236,"Christine Huonker: Herr Epple, warum haben Sie sich entschlossen, einen Ausbildungsplatz zum Interactive Media Designer (IMD) anzubieten, was sind die Hintergründe für Ihren Entscheid?",web1,"[31, 36]"
adeed121-9847-4389-81ce-ecfc5574cbd7,"Können Sie kurz erklären, warum Sie sich für dieses Berufsbild, für diesen Ausbildungsberuf zum Interactive Media Designer entschieden haben und was Sie dabei motiviert hat?",web1,"[26, 31]"
3eed332e-b9ed-4dd8-bbbe-72428a1510a7,Warum hat mein Hund jetzt Durchfall?,web1,"[0, 5]"
cb39feed-25c4-4540-85ab-21904b26cdd9,Warum finde ich kein Schweinefleisch im haustierkost.de Sortiment?,web1,"[0, 5]"
d015ffdb-30dd-41b3-871e-0681e3f809bd,Warum muss Öl zu der Mahlzeit?,web1,"[0, 5]"
e0b8bb2c-4161-4279-a1f5-fb1a0653ff9d,"Kurzinhalt Einleitung Die Ernährung des Wolfes Warum Hunde roh ernährt werden sollten Vor- und Nachteile der Rohfütterung 1. TEIL Der Magen-Darm-Trakt des Hundes Grundlagen der Ernährungslehre (Nährstoffe, Mineralien, Vitamine) 2. TEIL Die Zutaten der Rohfütterung (Fleisch, Gemüse, Obst, Kräuter, Zusätze etc.)",web1,"[47, 52]"
8ca64937-1f77-49d2-96d4-744c29fbbc62,"Erfahren Sie, warum gerade diese Campingplätze so gut gebucht sind und lassen Sie sich inspirieren.",web1,"[14, 19]"
6f249f64-1dbf-40c4-b8a2-a4f1eb4fa5ec,Warum also ein Risiko eingehen?,web1,"[0, 5]"
85009bbe-da72-4158-896a-0001d1b0bce7,Warum wird für die Wünsche eine Gebühr erhoben?,web1,"[0, 5]"
05396251-f4e3-4cca-a268-4c16daba3e9c,Warum?,web1,"[0, 5]"
eac38e3e-8553-4769-8cb1-f0491ef12fe6,Warum Ungarn?,web1,"[0, 5]"
c087aa5e-b421-46a5-9e4f-87209c977c10,Warum Kroatien?,web1,"[0, 5]"
c7afe800-28ad-4cdb-924d-b35cc0181577,"Hervorragende Passform, beste Trageeigenschaften kombiniert mit überzeugendem Design sind die Gründe warum Ricosta eine der erfolgreichsten und beliebtesten Kinderschuhmarken in Deutschland ist.",web1,"[101, 106]"
86148d10-cb03-45c7-94cb-c3ef03c51b99,"Hervorragende Passform, beste Trageeigenschaften kombiniert mit überzeugendem Design sind die Gründe warum Ricosta eine der erfolgreichsten und beliebtesten Kinderschuhmarken in Deutschland ist.",web1,"[101, 106]"
e8c6400b-2dda-4e11-9618-51d09fd154a4,"Hervorragende Passform, beste Trageeigenschaften kombiniert mit überzeugendem Design sind die Gründe warum Ricosta eine der erfolgreichsten und beliebtesten Kinderschuhmarken in Deutschland ist.",web1,"[101, 106]"
