"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-03-27","internetbasiert","Corona - so funktioniert der Schwindel ! | kinder-verstehen.de. kinder-verstehen.de, 2020-03-27","https://www.kinder-verstehen.de/mein-werk/blog/corona-so-funktioniert-der-schwindel/","Masken sind für den Krankenhaus- und den Laboratoriumsbereich gedacht und genau dort (und n u r dort) gehören sie auch hin!"
"2","2019-04-08","internetbasiert","Lindner: Die Grünen lassen nun ""ihre bürgerliche Maske"" fallen. Epoch Times www.epochtimes.de, 2019-04-08","https://www.epochtimes.de/politik/deutschland/lindner-die-gruenen-lassen-nun-ihre-bruegerliche-maske-fallen-a2848523.html","Die Grünen lassen nun „ihre bürgerliche Maske“ fallen"
"3","2018-11-10","internetbasiert","#104 Produkttest - Avon Planet Spa Blissfully Nourishing. miristraumschloss.blogspot.com, 2018-11-10","https://miristraumschloss.blogspot.com/2018/11/104-produkttest-avon-planet-spa.html","Die Maske ist zwar puddingartig, aber super ergiebig und ich bin jetzt schon gespannt wielange die 200ml wohl halten werden."
"4","2019-07-12","internetbasiert","Homeoffice in der Zeiterfassung - Gecosoft Zeiterfassung Österreich. GeCOSOFT - Zeiterfassung und Zutrittskontrolle, 2019-07-12","https://www.gecosoft.at/blog/homeoffice-in-der-zeiterfassung/","Eingabe der Tagesarbeitszeiten über entsprechende Masken."
"5","2020-11-05","internetbasiert","Zertifizierung und Qualitätssicherung - Univent Medical. Univent Medical GmbH, 2020-11-05","https://univent-medical.de/zertifizierung-und-qualitaetssicherung/","Konkret werden einige Hersteller benannt, deren Atemschutzmasken nicht in Verkehr gebracht werden durften: Masken des Herstellers Daddybaby; Masken der Hersteller Xin Neng Dian CTT Co Ltd. sowie Anhui Hongqing Protective Equipment (Hong Quing); Masken des Herstellers Guangzhou Runjia."
"6","2020-02-18","internetbasiert","„Doppelleben“ - Theo. Theo, 2020-02-18","https://www.theo-magazin.de/1016/doppelleben/","„Der Karneval und die Bestattung haben vieles gemeinsam: Sie sind beide unabwendbar (zumindest in Köln), immer geht es um große Gefühle, es kommen viele Menschen zusammen, Masken werden aufgesetzt und fallen gelassen, es wird gesungen und vieles mehr."
"7","2020-05-26","internetbasiert","Sommerurlaub 2020. Landhaus Tanner Waging am See, Bayern, 2020-05-26","https://www.landhaus-tanner.de/sicherheit-im-sommerurlaub/","• Wellnessbehandlungen können mit Maske durchgeführt werden."
"8","2020-05-24","internetbasiert","Was geht denn ab, in diesem unseren Lande? Eine Betrachtungen der ganz anderen Art – Teil 2. dasNetzwerk.net, 2020-05-24","https://www.dasnetzwerk.net/was-geht-denn-ab-in-diesem-unseren-lande-eine-betrachtungen-der-ganz-anderen-art-teil-2/","Menschen, die sich ergeben Masken aufsetzen, weil man ihnen suggeriert hat, sie seien krankmachend, toxisch für ihre Mitmenschen."
"9","2019-03-22","internetbasiert","Kurzreviews: Overnightprodukte von Asam, Origins und Isntree - Irit Eser. Irit Eser, 2019-03-22","https://iriteser.de/2019/03/kurzreviews-overnightprodukte-von-asam-origins-und-isntree/","Keine Ahnung, was in der Maske und der Essence genau dafür verantwortlich ist."
"10","2020-06-23","internetbasiert","DPD Paketzentrum in Leupoldsgrün - DPD-Paketzentrum. paketda.de, 2020-06-23","https://www.paketda.de/dpd-depot-195-leupoldsgruen.html","Herby am 17.06.2020: Manche DPD Fahrer halten es nicht für nötig in dieser Zeit eine Maske zu tragen wenn sie einen Raum betreten."
