"No.","Date","Genre","Bibl","URL","Hit"
"1","2020-12-31","internetbasiert","Urlaubsgewährung, Betriebsferien, Urlaub während Kurzarbeit. 2015 Steuerberaterin Gräber Berlin Mitte, 2020-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20200603.htm","Volltextsuche innerhalb der Steuerdatenbank Urlaubsgewährung, Betriebsferien, Urlaub während Kurzarbeit"
"2","2020-12-31","internetbasiert","Urlaubsgewährung, Betriebsferien, Urlaub während Kurzarbeit. 2015 Steuerberaterin Gräber Berlin Mitte, 2020-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20200603.htm","Grundsätzlich obliegt es dem Arbeitnehmer seinen Urlaub nach seinen Wünschen zu planen."
"3","2020-12-31","internetbasiert","Urlaubsgewährung, Betriebsferien, Urlaub während Kurzarbeit. 2015 Steuerberaterin Gräber Berlin Mitte, 2020-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20200603.htm","Bei der zeitlichen Festlegung des Urlaubs sind die Urlaubswünsche des Arbeitnehmers zu berücksichtigen, es sei denn, dass ihrer Berücksichtigung dringende betriebliche Belange oder Urlaubswünsche anderer Arbeitnehmer, die unter sozialen Gesichtspunkten den Vorrang verdienen, entgegenstehen."
"4","2020-12-31","internetbasiert","Urlaubsgewährung, Betriebsferien, Urlaub während Kurzarbeit. 2015 Steuerberaterin Gräber Berlin Mitte, 2020-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20200603.htm","Ferner gilt zu beachten, dass nur ein Teils des Urlaubs durch Betriebsferien fremdverplant werden darf."
"5","2020-12-31","internetbasiert","Urlaubsgewährung, Betriebsferien, Urlaub während Kurzarbeit. 2015 Steuerberaterin Gräber Berlin Mitte, 2020-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20200603.htm","Bei Urlaubsnahme während dieser Zeit wird der Urlaub mit dem üblichen Gehalt vergütet."
"6","2020-12-31","internetbasiert","Urlaubsgewährung, Betriebsferien, Urlaub während Kurzarbeit. 2015 Steuerberaterin Gräber Berlin Mitte, 2020-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20200603.htm","Das heißt Arbeitgeber sollen mit Beschäftigten, die noch ""alte"", bisher unverplante Urlaubansprüche haben, den Antritt dieses Urlaubs in Zeiten mit Arbeitsausfall im Betrieb vereinbaren."
"7","2020-12-31","internetbasiert","Fotografie und Fotodesign Sascha Basmer - Photographer and digital Artist. kle-design.de, 2020-12-31","http://bassascha.de/workshops/workshop-manuelle-fotografie/","Dazu mussten innerhalb kürzester Zeit die Inhalte geplant und ein Workbook erstellt werden, weil einer der Teilnehmer diesen Workshop noch vor seinem Urlaub besuchen wollte."
"8","2020-12-31","internetbasiert","Frankreich/Italien/Spanien. Digitalpaket. 2020. Frankreich/Italien/Spanien. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/frankreichitalienspanien-digitalpaket-2020/","Beworben werden diese Inhalte im offiziellen Newsletter der Marke Urlaub in Österreich, auf Social Media und auf anderen externen Plattformen."
"9","2020-12-31","internetbasiert","Frankreich/Italien/Spanien. Digitalpaket. 2020. Frankreich/Italien/Spanien. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/frankreichitalienspanien-digitalpaket-2020/","Beworben werden diese Inhalte im offiziellen Newsletter der Marke Urlaub in Österreich, auf Social Media und auf anderen externen Plattformen - nach Wahl in Frankreich, Italien oder Spanien."
"10","2020-12-31","internetbasiert","Frankreich/Italien/Spanien. Digitalpaket. 2020. Frankreich/Italien/Spanien. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/frankreichitalienspanien-digitalpaket-2020/","Präsentation Ihrer Botschaft auf dem offiziellen Tourismusportal Österreichs unter der starken Marke Urlaub in Österreich"
"11","2020-12-31","internetbasiert","CEE. Digitalpaket. 2020. CEE. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/cee-digitalpaket-2020/","Beworben werden diese Inhalte im offiziellen Newsletter der Marke Urlaub in Österreich, auf Social Media und auf anderen externen Plattformen."
"12","2020-12-31","internetbasiert","CEE. Digitalpaket. 2020. CEE. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/cee-digitalpaket-2020/","Beworben werden diese Inhalte im offiziellen Newsletter der Marke Urlaub in Österreich, auf Social Media und auf anderen externen Plattformen - nach Wahl in Kroatien, Polen, Rumänien, Russland, Slowakei, Slowenien, Tschechien oder Ungarn."
"13","2020-12-31","internetbasiert","CEE. Digitalpaket. 2020. CEE. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/cee-digitalpaket-2020/","Präsentation Ihrer Botschaft auf dem offiziellen Tourismusportal Österreichs unter der starken Marke Urlaub in Österreich"
"14","2020-12-31","internetbasiert","Belgien/Dänemark/Großbritannien/Niederlande/Schweden. Digitalpaket. 2020. Belgien/Dänemark/Großbritannien/Niederlande/Schweden. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/belgiendaenemarkgrossbritannienniederlandeschweden-digitalpaket-2020/","Beworben werden diese Inhalte im offiziellen Newsletter der Marke Urlaub in Österreich, auf Social Media und auf anderen externen Plattformen."
"15","2020-12-31","internetbasiert","Belgien/Dänemark/Großbritannien/Niederlande/Schweden. Digitalpaket. 2020. Belgien/Dänemark/Großbritannien/Niederlande/Schweden. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/belgiendaenemarkgrossbritannienniederlandeschweden-digitalpaket-2020/","Beworben werden diese Inhalte im offiziellen Newsletter der Marke Urlaub in Österreich, auf Social Media und auf anderen externen Plattformen - nach Wahl in Belgien, Dänemark, Großbritannien, Niederlande oder Schweden - oder in einer Kombination aus mehreren Ländern."
"16","2020-12-31","internetbasiert","Belgien/Dänemark/Großbritannien/Niederlande/Schweden. Digitalpaket. 2020. Belgien/Dänemark/Großbritannien/Niederlande/Schweden. Digitalpaket. 2020, 2020-12-31","https://www.austriatourism.com/maerkte/marketingaktivitaeten-neu/belgiendaenemarkgrossbritannienniederlandeschweden-digitalpaket-2020/","Präsentation Ihrer Botschaft auf dem offiziellen Tourismusportal Österreichs unter der starken Marke Urlaub in Österreich"
"17","2020-12-31","internetbasiert","Schnarchschienen, Schnarchspangen, Schnarchmundstücke, Schnarchstents | Snorflex®. Snorflex®, 2020-12-31","https://snorflex.de/produkte/schienen-gegen-schnarchen/","Produktbeschreibung Im Urlaub wird's auch schon mal enger als sonst."
"18","2020-12-31","internetbasiert","Somnolis | Snorflex®. Snorflex®, 2020-12-31","https://snorflex.de/produkt/somnolis/","Die Somnolis Anti-Schnarchschiene wurde für eine unregelmäßige Verwendung konzipiert wie zum Beispiel im Urlaub oder auf Reisen."
"19","2020-12-31","internetbasiert","zweiteilige Schnarchschienen | Snorflex®. Snorflex®, 2020-12-31","https://snorflex.de/produkte/zweiteilige-schnarchschienen/","Produktbeschreibung Im Urlaub wird's auch schon mal enger als sonst."
"20","2020-12-31","internetbasiert","Sant Josep de sa Talaia: Finca & Ferienhaus in Sant Josep de sa Talaia (Ibiza) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/ibiza/ferienvermietung/sant-josep-de-sa-talaia/","Sie möchten eine Immobilie in Sant Josep de sa Talaia für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Ibiza?"
"21","2020-12-31","internetbasiert","Muro: Finca & Ferienhaus in Muro (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/muro/","Sie möchten eine Immobilie in Muro für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Mallorca?"
"22","2020-12-31","internetbasiert","Muro: Finca & Ferienhaus in Muro (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/muro/","Wer einen ruhigen Urlaub auf dem Land oder im Dorf sucht, der findet ihn hier."
"23","2020-12-31","internetbasiert","Puigpunyent: Finca & Ferienhaus in Puigpunyent (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/puigpunyent/","Sie möchten eine Immobilie in Puigpunyent für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Mallorca?"
"24","2020-12-31","internetbasiert","Biniali: Finca & Ferienhaus in Biniali (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/biniali/","Sie möchten eine Immobilie in Biniali für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Mallorca?"
"25","2020-12-31","internetbasiert","Ferreries: Finca & Ferienhaus in Ferreries (Menorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/menorca/ferienvermietung/ferreries/","Sie möchten eine Immobilie in Ferreries für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Menorca?"
"26","2020-12-31","internetbasiert","Alcúdia: Finca & Ferienhaus in Alcúdia (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/alcudia/","Sie möchten eine Immobilie in Alcúdia für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Mallorca?"
"27","2020-12-31","internetbasiert","Alcúdia: Finca & Ferienhaus in Alcúdia (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/alcudia/","Um den Urlaub in vollen Zügen genießen zu können, stehen für sie vor Ort viele verschiedene Unterkünfte bereit, die Platz für 2-3 Personen oder für 4-5 Familienmitglieder, sowie Ferienhaus-Urlaub unter Freunden mit 6-7 Personen, aber auch für Gruppen von 8-10 und bis zu 12 Teilnehmern bieten."
"28","2020-12-31","internetbasiert","Alcúdia: Finca & Ferienhaus in Alcúdia (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/alcudia/","Hier findet der Erholungssuchende alles, was er für einen perfekten Urlaub braucht."
"29","2020-12-31","internetbasiert","Alcúdia: Finca & Ferienhaus in Alcúdia (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/alcudia/","Wer seinem Urlaub etwas ganz Besonderes verleihen möchte, der entscheidet sich in den meisten Fällen für einen Urlaub in einer Villa mit gehobener Ausstattung oder in besonderer Lage."
"30","2020-12-31","internetbasiert","Alcúdia: Finca & Ferienhaus in Alcúdia (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/alcudia/","Wer seinem Urlaub etwas ganz Besonderes verleihen möchte, der entscheidet sich in den meisten Fällen für einen Urlaub in einer Villa mit gehobener Ausstattung oder in besonderer Lage."
"31","2020-12-31","internetbasiert","Selva: Finca & Ferienhaus in Selva (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/selva/","Sie möchten eine Immobilie in Selva für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Mallorca?"
"32","2020-12-31","internetbasiert","Selva: Finca & Ferienhaus in Selva (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/selva/","Wer seinen Urlaub in dieser beschaulichen Gegend verbringt, lernt eine ganz andere Facette Mallorcas als in den Touristenorten an der Küste kennen."
"33","2020-12-31","internetbasiert","Cala Bona: Finca & Ferienhaus in Cala Bona (Mallorca) 2020 mieten. Porta Holiday, 2020-12-31","https://www.portaholiday.de/mallorca/ferienvermietung/cala-bona/","Sie möchten eine Immobilie in Cala Bona für ihren Urlaub mieten oder haben eine Frage zu unseren Ferienwohnungen und Ferienhäusern auf Mallorca?"
