,text,label,span
idx,,,
0d062fb7-c742-4977-9046-8e6b826f5217,Ich habe mir die kostenpflichtige variante zugelegt und bei den neuen episoden ist wieder werbung drin.,web2,"[34, 42]"
2c5e8ebd-b362-4c9d-8e3c-9c9e6022f197,"Die Salsabeatmachine scheint die cáscara auf 5 anzufangen, nicht sicher welche variante üblicher ist…",web2,"[79, 87]"
7dacb9eb-22a8-41d0-abe6-a5dcae24d8ea,"Für System Variant X fügen wir zwei weitere Blöcke mit einer Kompositionsbeziehung zu: Part D und Part E. System Variant X und alle Parts dessen erhalten den Stereotyp «Variant element», um zu kennzeichnen, dass diese Blöcke nur Teil einer bestimmten Variante sind und nicht Teil des Kernsystems.",web2,"[251, 259]"
f26a97be-a0dd-418d-837a-fdf5fecf7acf,"Der Wrapper hat ja ein Attribut ""variant"", auf das wir hier zugreifen können.",web2,"[33, 40]"
9643e952-bc9f-4f22-9b6f-7f0613f1d341,"Andy Kubert, Joe Kubert & Brad Anderson Variant Cover:",web2,"[40, 47]"
37410f01-06c8-4042-9af6-07d97d6b3475,"allerdings wollte ich nicht die fade version mit reis machen und die variante mit faschiertem ist sowieso gar nicht mein ding. ich finde es total grauenhaft wenn man einfach nur einen haufen fleisch in eine paprika stopft und das wars dann. da muss es schon mehr sein, wie ich finde….",web2,"[69, 77]"
dcfd6517-122d-4a31-92d5-56d561328a12,(The Pine Bluff Variant),web2,"[16, 23]"
915f57e6-4362-488f-b8c8-18c9f935cc58,"Ich liebe schoki – in allen varianten – dunkel, weiß mit füllung, ohne …. hauptsache schokolade",web2,"[28, 36]"
e180a8a6-6894-4910-9b3d-714a5619b398,Der VW Passat Variant BlueMotion Technology 2.0 TDI,web2,"[14, 21]"
abac8f80-0ced-464c-8b54-e4d8d1e42b7e,"[...] array */ public function getArticleVariants($articleId, $page, $perPage) { // Get default article album $articleAlbum = $this->getArticleAlbum(); $offset = --$page * $perPage; // Get variants for the article $query = $this->getVariantsQuery($articleId, $offset, $perPage); $query->setHydrationMode( \Doctrine\ORM\AbstractQuery::HYDRATE_ARRAY ); $paginator = new \Doctrine\ORM\Tools\Pagination\Paginator($query); $totalResult = $paginator->count(); $variants = $paginator->getIterator()->getArrayCopy(); // Get cover image for each variant foreach($variants as &$variant) { $variant['cover'] = $this->getArticleModule()->getArticleCover( $articleId, $variant['number'], $articleAlbum ); } return array($variants, $totalResult); } [...]",web2,"[41, 48]"
ee388ccc-280d-45fc-90c1-e23238e3ca31,"Hersteller Juncker, etwa 1964 – 1965 VS / RS, gewölbt gearbeitet, körniges, helles Emaille, an langer Nadel mit varianten Nadelhaken, 54 x 53,7 mm, Medaillon 14,5 mm, 20,5 g",web2,"[112, 120]"
9e02e6a9-cb63-4c63-83e3-b81a5a9f201b,"ganz einfach, soso 😉 also ich musste mich erstmal einwurschteln, als ich das zum ersten mal gemacht habe. deine variante ist wieder mal so schön schlicht!",web2,"[112, 120]"
8ef82164-978f-461a-bfe6-556dd432b851,übrigens gestern noch eine variante erlebt: im körnergarten auf nem großen flachfernseher. aber war teilweise eher ne comedyshow beim spiel nigeria – südkorea als dort 1000%-prozentige torchancen sauber daneben platziert wurden.,web2,"[27, 35]"
3ae38d01-a73e-4b34-9d45-14ababa57eda,all diese varianten brauchen halt ne boxensim dahinter.,web2,"[10, 18]"
70b96e3b-2695-4594-90a6-39ded03eb293,"Variant à merveille les titres puissants et rentre-dedans avec les chansons melancoliques et sombres (Troy:"" this a depressing song, we live for that!"") Chokebore a fait preuve d´élégance et de finesse musicale, contrairement à certains.",web2,"[0, 7]"
4fda6945-bbc0-49b1-9735-b79c56341e63,"Odette`s kleidungsstil könnte man als sehr Freizügig und aufreizend bezeichnen.Sie trägt normalerweise lange oder Kurze ,formbetonte Kimonos.In allen Farben und varianten.Da odette einen ziehmlich großen Busen hat ,betont sie ihn gerne mit ihrer Kleidung.Kimonos werden meist noch ein wenig gekürzt.Ab und zu trägt sie auch eine schuluniform,weisses Hemd und karrierter Rock.Zieht sie in den kampf bevorzugt sie jedoch meist den Kimono.",web2,"[161, 169]"
df2cb3c2-a1dc-403b-a15f-2d3a1e9ee51d,"Volkswagen Golf V Variant 1,4 TSI Comfortline 2008 Reflexsilber 8M350124 www.autohaus.biz/czychy",web2,"[18, 25]"
3f7f18e6-321d-4b23-94ee-589f203b6456,Der Variant wird noch bis 1999 weitergebaut.,web2,"[4, 11]"
8d79b874-fe8f-404f-8de8-c216b7a46a69,2. gibts den opc nur in der 2L variante.,web2,"[31, 39]"
9e82a7d5-c33e-485e-ba50-4c90c1fcc13d,"das klingt doch echt gut, die wasserlösliche variante bröselt leider nach nem halben tag =/",web2,"[45, 53]"
b77e167a-96df-4fd5-bb75-4b86af088027,"Für einen Aufpreis von 1.500 Euro im Vergleich zum Passat Variant 4motion soll der crossige Mittelklässler nicht nur eine rustikalere Optik erhalten, sondern auch technisch ein Geländegänger werden….",web2,"[58, 65]"
