,text,label,span
idx,,,
ba4db4d1-16a8-48ca-8aa4-857ca7ac7659,"Eben kommt die Schwester rein und sagt: “Ich habe gehört, sie wollen heute nach hause.",web2,"[80, 84]"
72ba29c9-76ea-4aaf-8339-7c9b8ca6b0bc,Das ergibt dann quasi 8 Stunden für zu hause.,web2,"[39, 43]"
2b4af1e4-200f-43ee-ada0-c8f4d2779dbd,Ich bin eher in der Offlinewelt zu hause und beschäftige mich tagtäglich mit Hard- und Software.,web2,"[35, 39]"
0080cfd4-eb6d-464b-9e01-3080a05a0191,"trotzdem ist das silvester angebot natürlich ein knaller, und man sollte sich zweimal überlegen, ob man zu hause bleiben muss.",web2,"[107, 111]"
87fe17c8-b1dd-400c-b4dc-0027c3a9a77f,"Denn in die Parallelstaaten der Slums, wie es Soziologen nennen, wagt sich kaum jemand hinein, der dort nicht gezwungenermaßen hausen muß.",web2,"[127, 131]"
ece6d3a9-76bf-4a92-b733-11af793fbebf,"Gaza ist ein Ort aus der Endzeit des Menschlichen. 1,7 Millionen Menschen hausen da, zusammengepfercht auf 360 Quadratkilometern.",web2,"[74, 78]"
2c0c49fb-29f1-4e9d-a517-00caca728f50,"Namenlos bleiben dafür die etwa 30`000 Anhänger der 108 Führer, die in einer Bergfeste am Moor hausen.",web2,"[95, 99]"
5e15237d-1d0b-4fd2-8aac-3901d6c38556,"Unglücklicherweise haust dort ein riesiges Monster, das mir irgendwas von wegen „Du bist der Auserwählte“ vorkreischt und mich bewusstlos schlägt.",web2,"[19, 23]"
766eb85e-8a86-4e52-af22-466379f286cf,"Die einen deutlich erkennbar weil gerade im Job ganz mächtig die Post abgeht, die anderen weil zu hause ein einschneidendes Erlebnis passiert oder man sehr viel Zeit mit einem neuen Freundeskreis verbringt, wieder andere dagegen kaum spürbar, weil sie seit Jahren die gleiche Tätigkeit in der gleicher Umgebung ausführen.",web2,"[98, 102]"
