,text,label,span
idx,,,
5899ce2a-a854-482a-9a4b-bc5530932683,"Eine Modern Art Gallery, eine Praxis für Tier und Mensch,",web2,"[41, 45]"
ee9b0487-03f1-4bd0-9753-924fca22ccc2,"Die Ruinen sind mitten im Dschungel gelegen, so dass man neben geschichtsträchtigen Bauwerken auch ‘wilde Tiere und so’ sehen kann.",web2,"[106, 110]"
080d5930-330e-430b-a263-7f5e4ee2bf8a,Bitte informieren Sie sich bereits vor dem Kauf Ihres Tieres über die obligatorischen Schutzimpfungen.,web2,"[54, 58]"
6e820f8c-29b3-4cbf-98d6-82afcdb47cc4,Beim Kauf eines Tieres kann dies das Vertrauen zum Züchter stärken – oder in den Grundfesten erschüttern.,web2,"[16, 20]"
c7250415-e7b5-437b-a916-9b88becba29e,Ein ungeimpftes Tier von einem “ordentlichen” Züchter zu erhalten ist eine Meldung an den Zuchtwart des jeweiligen Vereins wert!,web2,"[16, 20]"
4cebfbcd-eb1d-43d7-9df3-1df7383df0e8,"Ihr habt in diesem Jahr geholfen den Gnadenbrotplatz der beiden Rentner-Pferde, und der anderen unvermittelbaren Tiere hier auf dem Hof, zu erhalten.",web2,"[113, 117]"
bb3ecf54-9b57-454b-9796-95e1e998d68e,♥lichen Glückwunsch an Elisabeth und dir und deinen Tieren ♥ HAPPY NEW YEAR !! ♥,web2,"[52, 56]"
530ebe90-f25c-4d3a-a3ed-14c241cd4f77,Ein frohes und gesundes 2013 an die Tiere und an Susanne.,web2,"[36, 40]"
d0943cc6-e12f-4094-9e67-974fdca1935f,"Bild Dieser Beitrag wurde unter alltägliches, fotologisches, herzliches/liebenswertes, tierisches abgelegt und mit djW, Foto, Grüsse, Tiere, Wünsche verschlagwortet.",web2,"[134, 138]"
e7bf87b4-836b-4c21-a7d9-741ed890a96a,"„Fleisch von Hunden, Katzen, anderen hundeartigen und katzenartigen Tieren (Caniden und Feliden) sowie von Affen darf zum Genuss für Menschen nicht gewonnen werden.“",web2,"[68, 72]"
de72b536-2507-42d6-bbe6-4ca9cb424b14,"[...] G. – Sachspenden Frau Z. – Sachspenden Steffi B. – Geldspende Tierarztpraxis Czetö – Futterspende Viola G. – Sachspenden Margriet S. und Jutta – Futter-, Sach- und Geldspende Catlen H. – Geldspende Daniela K. - Sachspenden Herr Ulbrich – Geldspende Sylvia H. – Sachspenden Nicole J. – Sachspenden Fam. Bartos – Sachspenden Svenja R. – Sachspenden Jutta W. – Sachspenden Renate und Hans-Jochen W. – Geldspende Kristina N. – Sachspenden Kerstin G. – Sachspenden Evelyn S. – Sachspenden Frau S. - Sachspenden Heike aus Panketal – Sachspenden Martina H. – Sachspenden Renate G. – Futterspende Sabine L. – Geldspende Tiere brauchen Menschen – Sachspenden Kerstin F. – Sachspenden Yvonne M. – Futter- und Sachspenden Fam. Malek - Sachspenden Heike K. - Sachspenden Simone B. - Futterspende Jennifer F. - Sachspenden Claudia K. - Futterspenden Sybille R. - Sachspenden Jennifer W. - Sachspenden Claudia M. - Sachspenden Susanne B. - Sachspenden Fam. B. - Sachspenden Brigitte vom P. - Sachspenden Caterina E. - Futterspenden Stefanie R. – Futterspende Eva H. und Sebastian D. - Geldspende [...]",web2,"[68, 72]"
f798bf65-a93b-4d11-b7dd-dafb88c1947f,"Dass Naturschützer sich mitunter nicht um Tiere und deren Rechte scheren, zeigt sich ganz deutlich daran, dass ausgerechnet der Export von Laboraffen für Tierversuche das nötige Geld und die praktische Unterstützung für den Erhalt der mauritischen Biodiversität bereitstellen soll.",web2,"[42, 46]"
e2338f2f-30dc-4694-818f-0a1e695c8140,Mit 10.000 exportierten Tieren pro Jahr ist Mauritius nach China die Nummer zwei im weltweiten Handel mit Laboraffen.,web2,"[24, 28]"
72bc356e-1799-4fdf-96c4-8e51b7491dc0,"Neben internationalen Protesten und dem Boykott gewisser Fluglinien, die diese Tiere transportieren, sollte man nicht unterschätzen, welche Macht Touristen haben.",web2,"[79, 83]"
43309e8f-1a6d-4e1e-a540-f7965495526a,Mit der Idylle auf Mauritius ist es auf jeden Fall schon ganz lange vorbei … nicht nur für die Tiere.,web2,"[95, 99]"
171054b5-8352-4408-bfb2-bc21a813b77a,"Dass Naturschützer sich mitunter nicht um Tiere und deren Rechte scheren, zeigt sich ganz deutlich daran, dass ausgerechnet der Export von Laboraffen für Tierversuche das nötige Geld und die praktische Unterstützung für den Erhalt der mauritischen Biodiversität bereitstellen soll.",web2,"[42, 46]"
675120cb-503b-43e5-ac62-0dd505c5cc81,Mit 10.000 exportierten Tieren pro Jahr ist Mauritius nach China die Nummer zwei im weltweiten Handel mit Laboraffen.,web2,"[24, 28]"
03ef54c3-9019-40fe-bb88-61d4a91720fa,"Neben internationalen Protesten und dem Boykott gewisser Fluglinien, die diese Tiere transportieren, sollte man nicht unterschätzen, welche Macht Touristen haben.",web2,"[79, 83]"
c3ae7b99-2f76-4012-b5fa-4651ec1f5148,Mit der Idylle auf Mauritius ist es auf jeden Fall schon ganz lange vorbei … nicht nur für die Tiere.,web2,"[95, 99]"
4f132bf0-3999-4f93-938f-ea14d44ea813,2. Staffel – Vol. 6 75. Blue Exorcist – Vol. 1 (Blu-ray) 76. Black Lagoon – Robertas Blood Trail (Blu-ray) 77. One Piece – 3. Film: Chopper auf der Insel der seltsamen Tiere 78. Blue Exorcist – Vol. 2 (Blu-ray) 79. Black Butler – 2. Staffel – Box 1 80. Detektiv Conan – 11. Film:,web2,"[168, 172]"
cee7089a-eeb9-45fb-b02b-9b85b01d74cb,Das Fleisch dieser Milchlämmer ist besonders zart und viel milder als das erwachsener Tiere.,web2,"[86, 90]"
34d117eb-8816-4c18-9a91-cf5b2c53fc8b,"…schöne Bilder, obwohl ich leider keine Feuerwerke und sonstige Feuerwerkskracher mag, weil einfach zu viele nicht-menschlichen Tiere, kleine Kinder, alte Menschen, die Umwelt uva. darunter leiden müssen…",web2,"[128, 132]"
