,text,label,span
idx,,,
a7253ecf-e33f-4c17-89c1-c5ed3baa8fef,"Der Großkönig ist nicht derjenige, der den König vertritt, wenn dieser einmal Urlaub braucht.",web2,"[78, 84]"
59ffc961-4de9-431d-8387-6eee63af6a65,"Tabletten fressen und warten.Mein ZA ist nämlich im Urlaub und zu einem anderen gehe ich nicht.Ich bin nämlich eigentlich ein totaler Zahnarzt-Schisser und bin froh,dass ich MEINEN ZA gefunden habe,zu dem ich vollstes Vertrauen habe.",web2,"[52, 58]"
fedb36a8-cb35-44af-a6e9-f0f1718313a6,Urlaub mit Hund,web2,"[0, 6]"
bca280b3-c7db-4da5-8f27-3a579cf7f86b,"Könnten wir zur Gemütsaufhellung vielleicht ein ungewöhnliches Geschenk projektieren für alle frühpensionierten Kolleginnen, ich dachte da an ein persönliches Schreiben, Postkarte, aus dem Urlaub von Prof. Dr. Kröber, sowie eine kleine CD von Klassikradio oder eine Krawatte von Prof. Dr. Leipziger mit Widmung.",web2,"[189, 195]"
fbc8844f-18d5-4462-93fa-2a73376cb309,"Könnten wir zur Gemütsaufhellung vielleicht ein ungewöhnliches Geschenk projektieren für alle frühpensionierten Kolleginnen, ich dachte da an ein persönliches Schreiben, Postkarte, aus dem Urlaub von Prof. Dr. Kröber, sowie eine kleine CD von Klassikradio oder eine Krawatte von Prof. Dr. Leipziger mit Widmung.",web2,"[189, 195]"
2a2f51df-f22a-49e6-993a-97dca5a1d7c1,"Die nächsten Schritte sind meist die erste gemeinsame Wohnung, gemeinsamer Alltag und zur Abwechslung entspannte Urlaube.",web2,"[113, 119]"
741af6ea-0ce5-4265-b39a-c91c112b6fd6,"Zu meinen, während eines zwei Wochen dauernden, beruflichen Projekts im August auf einer griechischen Insel auch Urlaub machen zu können.",web2,"[113, 119]"
dc615142-5c3b-40b2-8c5e-b55e7db907b3,"Zu heiß, zu viel los, zu viel Blabla – nicht meine Art von „Urlaub“.",web2,"[60, 66]"
d2e21eee-8dec-4e8f-858e-56fcdfb41288,"Auf die ganzen Querelen mit Zähnen, Zahnwurzeln und Kieferkämmen – die mich einen Urlaub kosteten und viele Stunden mit Eiswürfeln und Schmerzen auf der Couch einbrachten.",web2,"[82, 88]"
200a7731-f0cf-4b12-ba5f-3ffa5ed720f9,Urlaub.,web2,"[0, 6]"
dce4756c-7732-4bf2-a9e9-3cade232aa68,"Mauritius hat das Image einer paradiesischen Insel, Leute verbringen ihren Urlaub hier.",web2,"[75, 81]"
e4f6179b-aa44-4907-aecf-c7d812ad25e7,"Mauritius hat das Image einer paradiesischen Insel, Leute verbringen ihren Urlaub hier.",web2,"[75, 81]"
0f60606a-f0bb-455f-b366-49db4bd9c969,Ich genieße die absolute Ruhe des Urlaubs zwischen den Jahren.,web2,"[34, 40]"
a6b4f45a-b540-4ea5-9c3a-6300cb103eb9,"Eine kurze und sehr schöne Atempause bot unser Urlaub in Südfrankreich, den wir mit Zelt und vielen Büchern am Strand und in der Hängematte verbracht haben.",web2,"[47, 53]"
bfa69894-0370-4265-89b9-5827f2a50e14,Unsere Saxophonistin macht Urlaub an einer Wasserskianlage in der Nähe von Antalya www.hip-notics.com,web2,"[27, 33]"
d3abbf86-4cc9-43c1-b591-1be69663256d,Unsere Saxophonistin macht Urlaub in Heringsdorf.,web2,"[27, 33]"
eb732aff-cb0c-4b07-b78a-615f33cd15e6,"Oma und ich hätten eigentlich heute mit der Katze von meiner Freundin zum Tierarzt gemusst, weil meine Freundin im Urlaub ist, aber dann ist Omi alleine los.",web2,"[115, 121]"
5d5f2702-2c3b-48e8-bdcf-45b21960efdc,"Und da ich aktuell noch ein wenig meinen Urlaub genieße und mich mental auf die Neujahr-Feier vorbereite, ist es jetzt doch die ideale Zeit die letzten 2 Monate ein wenig genauer zu beleuchten.",web2,"[41, 47]"
fca32ac0-fffd-40d2-9b0d-79a8b3c0982c,"Neben dem vielen guten Essen war dieser Urlaub aber eher weniger ereignisreich, da es mich wie bereits berichtet gegen Ende des Urlaubs ziemlich fies erwischt hatte … böse amerikanische Thanks Giving Keime!",web2,"[40, 46]"
cb74c5b0-2588-40e0-8203-faf236649713,"Neben dem vielen guten Essen war dieser Urlaub aber eher weniger ereignisreich, da es mich wie bereits berichtet gegen Ende des Urlaubs ziemlich fies erwischt hatte … böse amerikanische Thanks Giving Keime!",web2,"[40, 46]"
4bd9afd9-17db-4580-9a10-ca9fa2c0c3fd,"Ich hoffe das wird keine Gewohnheit bei mir, dass ich immer pünktlich im Urlaub krank werde.",web2,"[73, 79]"
6f8deb0a-489b-4e58-a776-8c336d0ba655,"Aber im Grunde ist dieser Urlaub die letzte Chance für sie, sich aus ihrer selbstzerstörerischen Beziehung zwischen Hassliebe, Gewalt und gegenseitiger Abhängigkeit zu retten.",web2,"[26, 32]"
0e93ed4b-ef28-4197-86cc-a0c7c7a89f47,"Mein September 2012: BU Leistungsprüferlehrgang, Seminarbetreuung an der Fernuni, Urlaub auf Rügen, Barcamp Stuttgart und Weinlese",web2,"[82, 88]"
57636939-d52e-45f0-a221-7f3454b54c02,War ein herrlicher Urlaub in dem ich mich gut erholen konnte.,web2,"[19, 25]"
6b6ce160-6292-4c09-9de8-fac5447e6f9d,Und Ende des Monats fahren wir in Urlaub.,web2,"[34, 40]"
13e19e60-7a2b-4073-9b14-07047de01939,Wir waren schon wieder im Urlaub – dieses Mal auf der schwäbischen Alb.,web2,"[26, 32]"
d18e86cf-4496-4520-8702-7b3eb4f26c1c,"Sonnenuntergänge, Wassermelone und Bikini haben mich nicht nur durch den Urlaub begleitet, sondern waren in dem Monat auch meine Haupt-Inspirationsquelle.",web2,"[73, 79]"
8af0e932-0a2f-40cf-8374-b74ea3ef3380,Inspirationen gab es in diesem Monat keine – was hätte auch inspirierender sein können als der Urlaub selbst!?,web2,"[95, 101]"
a0c57abf-698d-447b-9df3-a6fe58bfdcfe,"Mein erstes kleines FotoShooting in Hamburg, eine Geburtstagsfeier direkt am Meer und natürlich ein unvergesslicher Urlaub in den Alpen, der dank heisser Fön Luft spontan fast schon zu einem Sommerurlaub ‘ausartete’ und sich mit Momenten am Steg, unglaublichen Aussichten und Kaiserschmarrn auf dem Tegelberg in meine Erinnerung gebrannt hat.",web2,"[116, 122]"
25dcffc5-3510-4f3f-b0f1-b09629f9559c,"Da wohnen, wo die anderen Urlaub machen, naja zumindest fast da wohnen .",web2,"[26, 32]"
efb0eca9-2720-43b3-b1a5-3354e89d0e0e,"Die beiden Schauspieler genossen am Donnerstag, 27. Dezember, gemeinsam mit ihren Partnern Justin Theroux und Stacy Keibler ein Abendessen in Mexiko, wo sie alle derzeit Urlaub machen.",web2,"[170, 176]"
a5648e9a-7adc-4bed-8566-087773e59b96,“Urlaub”:,web2,"[1, 7]"
4dfb42fb-5127-450b-b095-225325d92c65,"Urlaub wurde verkürzt auf eine Woche Toskana, die auch noch mit laufenden Telefonaten und mail check gewürzt wurde.",web2,"[0, 6]"
51f17a3d-ee92-4de9-a2e7-6bc93e217e7e,3 – Ideal für einen langen Urlaub – eine Reise um die Welt.,web2,"[27, 33]"
99473faf-8f4d-4a10-a965-485877ed6838,"Liebe Frau Tonari, genau diese Schmerzen, diese Ohren-Befindlichkeit kann ich Ihnen nur zu gut nachfühlen, weil es mich vor Jahren mal im Urlaub erwischt hatte.",web2,"[138, 144]"
26094750-1292-4a09-aa7e-4450c9684f09,Das war sozusagen unser erster gemeinsamer Urlaub…,web2,"[43, 49]"
302a28b8-7048-4004-a888-10242265f142,Ich wünsche Euch einen tollen Urlaub in der Karibik und freue mich schon auf Eure Berichte.,web2,"[30, 36]"
9251de88-afd4-4723-a45a-e990aee34ddc,Mein erster (mehr oder weniger) „richtiger“ Urlaub:,web2,"[44, 50]"
8c9fc311-32fa-4611-81c8-63a5101e759b,"Beim ersten Anlauf wurde ich, zwei Tage vor meinem Urlaub, krank, konnte nicht laufen.",web2,"[51, 57]"
13f2256b-a9ec-468c-83a4-d8809e5fc854,"Beim zweiten Anlauf war mein Urlaub zwar genehmigt, doch ich verlor die Arbeitsstelle.",web2,"[29, 35]"
e86c0eff-c0f3-4a9c-b0f1-067311eabed8,"Da ich keine Chance hatte früh etwas zu buchen (war ja viel zu riskant, da nicht klar war ob mein Urlaub genehmigt würde) musste ich bei der Übernachtung etwas anderweitig suchen, da alles ausgebucht war oder eben nicht nur für eine Nacht möglich war.",web2,"[98, 104]"
9f6ceab7-c6fe-4a21-bcbb-724f23db72b3,"Den Urlaub verbrachte ich dort mit jemanden, für den ich durchs Feuer gehen würde.",web2,"[4, 10]"
bba86141-6afa-4d75-b915-52b7993ffb42,"Man meinte, dass jeder gut ist, und wenn denn doch einer vom rechten Pfad abirrt, dann könne es doch nur daran liegen, dass er gerade Geld oder einen Urlaub braucht.",web2,"[150, 156]"
fa7756d6-0eb7-4fab-a6ec-b1712e9375ce,An Urlaub wird aber lange nicht zu denken sein- auch wegen der Katzen.,web2,"[3, 9]"
bcde5282-6c79-481e-89cc-2ed31d6eeb89,Nach einem Urlaub in Honfleur habe ich Sultaninen über Nacht in Calvados träumen lassen und sie zur Freude der Äpfel und meines Mannes hinzugefügt.,web2,"[11, 17]"
541745ea-9df9-4a80-95ac-70bc2427cc43,"Gaumenfreuden und ein edles Tröpfchen gehören genauso zum Urlaub, wie Ausschlafen oder Skifahren.",web2,"[58, 64]"
2c1bfe97-12dd-41d3-9615-42e77ff35c10,"Urlaub heißt, mit allen Sinnen zu genießen und den Alltag für ein paar Tage ruhen zu lassen.",web2,"[0, 6]"
c513721d-4eea-45b7-9908-8c5f19bfe4ef,"Morgen ist er da, der letzte Tag unseres Urlaubs; dem Urlaub des Liebsten.",web2,"[41, 47]"
2ebb2ad3-9a14-4f4a-b6a1-80420585dbed,"Morgen ist er da, der letzte Tag unseres Urlaubs; dem Urlaub des Liebsten.",web2,"[41, 47]"
5b338f51-383e-4735-bea6-cdc8bc6c044e,"Im gleichen Zuge möchte ich auch schon einmal vermerken, dass nach den Weihnachtsfeiertagen bis ins neue Jahr nicht wirklich erreichbar sein werde, da ich mir auch mal ein bisschen Urlaub gönne.",web2,"[181, 187]"
a7318922-00f3-4510-a81d-0086bafca351,"Genieße Deinen wohlverdienten Urlaub und rutsche in ein glückliches, gesundes und",web2,"[30, 36]"
0c248955-3547-44ea-8849-3bb13b7396cb,Außerdem wünsche ich Dir einen schönen Urlaub.,web2,"[39, 45]"
f5d0c7dd-43cd-4016-9c91-d1a43a4a227c,"Vielmehr denke ich, dass zum Beispiel meine völlig verrückte Wanderung in den Alpen Thema sein wird, oder was ich in Athen in meinem Urlaub gesehen und erlebt habe, dass ich mal seekrank war und wie ich meine erste Fahrradfahrt überhaupt beendet habe.",web2,"[133, 139]"
51bbeddb-ca9a-4484-9caa-c7b1f0fc8cf6,"Der Urlaub fiel dadurch komplett ins Wasser, doch am Ende zählte nur eins:",web2,"[4, 10]"
4e0a7ca0-2e7e-4adc-adee-040cc8a9dfe7,Da wird Urlaub zur Nebensache.,web2,"[8, 14]"
56ff210e-0869-4b84-8d78-1f77ed53c5c4,"Seit einer Woche nutze ich meinen Urlaub enthusiatisch dazu, Krempel auszumisten, Fotos zu sortieren, die Wohnung zu putzen, Brot zu backen und mehrstündig zu kochen…und alles top motiviert.",web2,"[34, 40]"
77756b50-b9b8-4ca1-a6e6-cd707a74ef86,3 Urlaube auf 3 Inseln.,web2,"[2, 8]"
5538d949-021b-401f-8571-473313c88573,Jeder Urlaub eine Besonderheit.,web2,"[6, 12]"
e092a892-fcb1-4f61-b3f3-1b4266aed803,"Auch wenn unser Urlaub in Bibione nicht besonders schön war, danke ich Dir trotzdem, dass Du uns die ganze Zeit bewahrt und beschützt hast.",web2,"[16, 22]"
65f75064-2e25-47d4-87e4-23e06f7dda81,"Wir freuen uns darauf, euch auch 2013 wieder mit den heißesten Reise-Schnäppchen versorgen zu können und ihr so euren Urlaub weiterhin eine ordentliche Schippe günstiger gestalten könnt",web2,"[118, 124]"
c4a71df6-1016-4a52-8427-921736a67a23,"Im Sommer nutzte ich meinen Urlaub, um wieder bei meinen Verwandten in Lüttchenseyda an frühere Ferienaufenthalte anzuknüpfen und öfter im Fläming-Skate-Gebiet zu trainieren.",web2,"[28, 34]"
e6dec859-691d-4b6a-a288-7ed22ec20bd3,"Wo ich dann meinte, dass manche Leute deswegen um ‚diese‘ Jahres(ende)Zeit fies in Urlaub gehen (so sie ausreichend gut dies schon waehrend des ganzen vorangegangenen Jahres durchgekaempft hatten)",web2,"[83, 89]"
