,text,label,span
idx,,,
8f79555f-fe59-4a24-9b5c-60d2a76a12ba,2012 im Überblick!,web2,"[17, 18]"
404fa868-6f05-4362-bb47-801cee131d46,"Umzug, Farbe, Laminat, Teppiche und das langersehnte große Bett mit supertollen Matratzen!",web2,"[89, 90]"
1e2170af-4f61-40c4-9b57-32070d3083c0,Dafür gehts 2013 zu Seeed!,web2,"[25, 26]"
cb88d219-f501-4e94-8398-23f0178e0cf9,"Ja, es kann!",web2,"[11, 12]"
02b3141d-5525-49f0-a562-046cadc8510d,Wir schaffen das!,web2,"[16, 17]"
040a6ccc-4b5d-4410-98d9-38feb4408dbd,"Ich bin froh, dass ich dich hab!",web2,"[31, 32]"
5eae6552-252f-4a7f-9e38-fcb03402a818,Hallo liebe User!,web2,"[16, 17]"
4c3cb526-0c5b-444e-bbfa-18951ae6107a,"Userprofil erfreuen, ich hoffe euch gefallen die Neuigkeiten!",web2,"[60, 61]"
ccaf4289-9f71-4532-888f-b7ae39bfec05,Dir wünsche ich auch ein frohes neues Jahr!,web2,"[42, 43]"
d96484f9-5542-4f84-9703-6e57736be6b7,"Vielen Dank, ihr Lieben!",web2,"[23, 24]"
23721aea-b3f7-4afd-a248-9c59fbd3f2f4,Für euch auch die allerbesten Wünsche!,web2,"[37, 38]"
958656f3-536d-4a97-8b69-96f8e002e60c,Geseke-News.de wünscht einen guten Rutsch!,web2,"[41, 42]"
9d86c07e-0c6a-4f54-8714-c59b496ddebb,Bleiben Sie uns auch im neuen Jahr mit Kritik und Interesse gewogen!,web2,"[67, 68]"
68587ae2-88ce-489e-8226-6913299837ff,Was für ein Jahr!,web2,"[16, 17]"
4f7457f2-2b96-4fdf-8254-ce5efb881300,“Kauft Leute!”,web2,"[12, 13]"
1f7f70bb-b302-4cd9-bc0c-cfffce243b55,Frohe Weihnachten!,web2,"[17, 18]"
6b3a1d36-c33f-41a4-944a-d58913fa6998,Also rundum ein echt toller Sandstrand zu dem sich eine Reise immer wieder lohnt!,web2,"[80, 81]"
0d34a0ad-6f68-4eb3-99f4-1977d6d78d15,"Nach dem Höhenflug ging es in die Tiefe, zumindest zum Abgrund!",web2,"[62, 63]"
8b33b931-1252-49b5-b01a-43899728c180,Heiko zur Folge “muss man sein Gehirn zu Hause lassen” um dort abzusteigen!,web2,"[74, 75]"
e3f1b25a-c76a-4a3c-a2a5-c18f2d8495e9,"Bei uns war es definitiv so, v.a. weil wir auch hier zusammen mit der Familie Rogers waren (inkl. Melody und ihrem Bekannten Andrew aus den USA)!",web2,"[144, 145]"
7cff1b3a-9e5e-45cb-bbf4-22f55f377706,Der Geschmack war toll!,web2,"[22, 23]"
1b76bc8e-6229-4e1a-9f28-bf7fbd58c244,Das “Highlight” des Tages kam dann anschließend!,web2,"[47, 48]"
4080d2e7-533d-442d-aaeb-f1cc5f49e7b6,So haben wir noch nie Weihnachten gefeiert!,web2,"[42, 43]"
dc1fc45e-124e-42fb-b937-c60bf8e1d219,Das wird bestimmt im neuen Jahr geschehen und deshalb wünschen wir all unseren Lesern auch auf diesem Weg einen guten Rutsch in das Jahr 2013!,web2,"[141, 142]"
4cec4566-f212-4fda-b6a8-d164b6cf1ba0,Das Team Happy New Year!,web2,"[23, 24]"
613732fe-cd12-4688-8b44-451c933324df,Der erste Saisonhöhepunkt wird bestimmt die Four Peaks Tour 2013!,web2,"[64, 65]"
234f6fb0-8ba5-453d-a1b2-806fca53cf70,"Euch allen einen guten Rutsch in ein erfolgreiches, gesundes und glückliches 2013 !! Vielen Dank auch für die zahlreichen Glückwünsche zu meinem Geburtstag!",web2,"[82, 83]"
3dd086dc-3f03-4cc2-9676-9e0bf548e036,Ich wünsche für das nächste Jahr alles Gute und insbesondere beschwerdefreie Sporteinheiten!,web2,"[91, 92]"
3dcb368d-f80f-435e-a3ec-73295d6bdf9c,7. Und ganz wichtig: MEHR TRINKEN! Das funktionierte in den letzten Monaten überhaupt nicht mehr.,web2,"[33, 34]"
c364abd5-0444-40f2-9c70-cf1f81c97c3a,Dir auch einen guten Rutsch! :-D,web2,"[27, 28]"
