,text,label,span
idx,,,
04b6efee-90a3-4925-9746-a517b4713272,Die einen stehen morgen früh wieder um 7 auf und gehen mit ihren Hunden spazieren und wieder andere schlafen ihren Silvesterrausch aus.,web2,"[100, 108]"
37f1b06e-06ff-4d36-95fd-ec8131fdda20,"Da habe ich schnell was gegessen und Kind und Krempel wieder eingeladen, denn mit so einem fieberkranken Kind bin ich dann doch lieber daheim und lasse sie in ihrem (oder meinem ….) Bett schlafen.",web2,"[187, 195]"
4af8ab09-8cdf-4f8d-a9f7-99febec9d3ef,Und ich hab seitlich auf dem Körnerkissen geschlafen.,web2,"[44, 52]"
28321c17-10e1-4e13-ae02-37ccd68e4649,"…nach anderthalb Stunden wurden alle Hunde wieder ins Auto gebracht, und lecker Kaffee mit Plätzchen verspeist…Fino`s Frauchen informierte uns am Abend, das er seelig im Körbchen schläft und schon vom nächsten Besuch träumt…na dann…das nächste Mal vielleicht mit Schnee…",web2,"[179, 186]"
65e144e3-e1fb-49fd-a5b7-ead5cf640089,Manche sind wahre Arbeitstiere und scheinen nie zu schlafen.,web2,"[51, 59]"
f9aebc80-0abc-4b8b-86c5-8f9c9d453fb1,"In zwei Tagen ist der Erste Besichtigungstermin, ich kann vor Aufregung gar nicht mehr schlafen.",web2,"[87, 95]"
02b2b48c-f68f-4f83-8632-5d249fb65aea,"Aus diesem war genau zu erkennen, wo wir sitzen und schlafen.",web2,"[52, 60]"
047dd42d-ab78-4b63-87c4-e38588754fe5,Schon mal unter einer Klimaanlage in direktem Fallwind geschlafen?,web2,"[57, 65]"
1c52e390-7659-4ba5-9e79-a3fd569556c3,"Und manchmal kann ich Nachts vielleicht nur ruhig schlafen, weil ich so wenig weiß.",web2,"[50, 58]"
f0c50227-f0c3-45a2-910d-7eefd4608fd0,"Das wühlt mich vorm schlafen geh`n doch noch mal sehr auf, Michael.",web2,"[20, 28]"
32109f84-6052-49a5-b6b5-37f35f25beec,Auf Nachfrage der Rezeption ob wir gut geschlafen haben ist gestern auch das Thema mit dem einen großen Plumeau gefallen und dank aufmerksamer Mitarbeiter hatten wir am Abend zwei einzelne Bettdecken auf unserem Bett.,web2,"[41, 49]"
d817f92e-d931-4e5e-8dd7-79e9ad49434e,In die Garage wurde allerdings kräftig investiert (keine Million aber dann doch langsam eine Summe) und so gab es 2 großes Sessel für das echte Wohngefühl (später kam dann noch ein Sideboard und Lampen und Barhocker und Telefon …und…und…und ….meine Frau hat mir übrigens verboten in der Garage zu schlafen).,web2,"[297, 305]"
