"No.","Date","Genre","Bibl","URL","Hit"
"1","2011-02-11","internetbasiert","Folsäurestoffwechsel: Forscher identifizieren angeborenen Gendefekt. RHEUMA ASPEKTE, 2011-02-11","http://rheuma-aspekte.de/folsaeurestoffwechsel-forscher-identifizieren-angeborenen-gendefekt-_13969/","Tatsächlich wurden die Wissenschaftler bei einer DNA-Analyse fündig und wiesen bei den Geschwistern eine homozygote Mutation im sogenannten DHFR-Gen nach."
"2","2010-11-30","internetbasiert","Eltern vererben Resistenz gegen AIDS / 15 Prozent der Bevökerung in Westeuropa sind gegen eine HIV-Infektion immun. InnovationsIntelligenz, 2010-11-30","https://www.innovations-intelligenz.de/eltern-vererben-resistenz-gegen-aids-15-prozent-der-bevoekerung-in-westeuropa-sind-gegen-eine-hiv-infektion-immun-306243.html","Wer eine Mutation des Gens CCR5 (“CCR5-Polymorphismus”) von Vater und Mutter vererbt bekommen hat, verfügt über eine sehr hohe Widerstandsfähigkeit gegen die Immunschwächekrankheit AIDS."
"3","2012-05-26","internetbasiert","Prototype 2 – Mein riesiger Anti-Frustrations-Spielplatz. I KNOW YOUR GAME (IKYG), 2012-05-26","http://www.iknowyourgame.de/highlights/prototype-2-mein-riesiger-anti-frustrations-spielplatz/","Diese speziellen Mutationen werden nach und nach freigeschaltet und helfen euch vor allem im Kampf gegen stärkere Gegner oder in Bosskämpfen, da diese nicht einfach nach dem “Hau-Drauf”-Prinzip funktionieren, sondern ein paar strategische Aspekte in die ganzen Gemetzel bringen."
"4","2012-04-24","internetbasiert","Doch nur ein einziger Zelltyp als Vorläufer für verschiedene Leukämien. MEDIZIN ASPEKTE, 2012-04-24","http://medizin-aspekte.de/doch-nur-ein-einziger-zelltyp-als-vorlaeufer-fuer-verschiedene-leukaemien_21638/","Vielen Formen von Krebs entstehen durch Mutationen in Körperzellen."
"5","2011-06-08","internetbasiert","Weitere Zombietypen / Ergänzungen. zombiecalypse.de, 2011-06-08","https://www.zombiecalypse.de/2011/06/weitere-zombietypen-erganzungen/","Mutation 0 – 1 HP – 10 Sekunden Auferstehungszeit – langsam"
"6","2011-10-24","internetbasiert","Monsterdoc. monsterdoc.de, 2011-10-24","http://www.monsterdoc.de/2011/killer-keime-sind-wieder-in-der-stadt/","Gibt es Mutationen oder gar virostatische Momente?"
"7","2011-12-06","internetbasiert","Wiedermal so eine Prise Drachen, Hasen und Hühner. Wordpressdotcom, 2011-12-06","https://blackspotbox.wordpress.com/2011/12/06/wiedermal-so-eine-prise-drachen-hasen-und-huhner/","007 2012 Alien Baby Doll Bali Batman Beach Bear blog Blood Blut Bond Girl Bérénice Marlohe Cat Chernobyl Diaries Comic Crash Creepy Daniel Craig Disco Dog Eat Evolution Explosion Fear fffuuu Fire Flip Book Fuck Game Boy Gary Oldman Ghost GIF Gott Graubünden Horror Horse Hulk Human Torch Illustration Internet James Bond Jesus Katzen Kind Laser Melanie Iglesias MI6 Monster Mutation Nightmare Ninja Poster Racoon Robot Roboter Scary Scheisswetter Schnee Schweiz sexy SkyFall Spiderman Staubsauger Sucker Punch Supercut Underwater Val Kilmer Vogel Wet Winter WTF X-Men Ziegen Zombie"
"8","2011-11-10","internetbasiert","Biologie SA: Erforschung der Stammesgeschichte. Schoolleaks BRG - Wörgl, 2011-11-10","https://schoolleakswoergl.wordpress.com/2011/11/10/biologie-sa-erforschung-der-stammesgeschichte/","Mutationen in relativ konstanten Zeitabständen"
"9","2012-11-21","internetbasiert","Lebensbedrohlichen Muskelabbau stoppen: RUB-Forscher entschlüsseln schädliche Proteinaggregate. Onkologie Aspekte, 2012-11-21","http://onkologie-aspekte.de/lebensbedrohlichen-muskelabbau-stoppen-rub-forscher-entschluesseln-schaedliche-proteinaggregate_33868/","Schädliche Proteinaggregate Bei der Erbkrankheit Filaminopathie liegt die Ursache für den Muskelabbau in der Mutation des Filamin C-Gens."
"10","2012-03-28","internetbasiert","Prototype 2 mit USK-Freigabe und Änderungen in Deutschland | Macnotes.de. Macnotes.de, 2012-03-28","http://www.macnotes.de/2012/03/28/prototype-2-usk-18-ankuendigung/","Kämpfe gegen Mutationen des Blacklight Virus sind ungeschnitten in der deutschen Version mit dabei."
