"No.","Date","Genre","Bibl","URL","Hit"
"1","2011-08-23","internetbasiert","Intern – Artikel 3.771 Mal gelesen. Blaulicht und Graulicht, 2011-08-23","https://justizkultur.wordpress.com/2011/08/23/intern-artikel-3771-mal-gelesen/","Keine Frage ist der Blog von Buchautor und Querdenker Robert Misik sehr gut gemacht."
"2","2012-05-11","internetbasiert","Landgasthof Hotel Gentner. erwinseitz.de, 2012-05-11","http://erwinseitz.de/gastronomie/landgasthof-hotel-gentner","Doch oft sind gerade diese Querdenker erfolgreich, wie Sabine und Harald Gentner."
"3","2012-05-16","internetbasiert","Global Sustainability Jam: Spielend einfach Nachhaltigkeit leben. unternehmer.de | Tipps für KMU & Startup, 2012-05-16","http://www.unternehmer.de/management-people-skills/132740-global-sustainability-jam-spielend-einfach-nachhaltigkeit-leben","Die UNO, EU, unterschiedliche Wissenschaftsdisziplinen und auch viele Querdenker haben in den unterschiedlichen Bereichen schon sehr gute Normen, Leitlinien und Strategien entwickelt."
"4","2010-10-13","internetbasiert","» DPMA, Beschluss v. 09.08.2010 – 304 22 150 – S 50/10 Lösch–“Löschung der Marke Querdenker” (noch nicht rechtskräftig). DPMA, Beschluss v. 09.08.2010 – 304 22 150 – S 50/10 Lösch–“Löschung der Marke Querdenker” (noch nicht rechtskräftig) | Von Dennis S...","http://www.wmwllp.de/berlinblawg/urteile/markenrecht/dpma-304-22-150-s-5010/","Die angesprochenen Verkehrskreise werden davon ausgehen, dass auch noch andere Institutionen über Querdenker, also Personen, die ungewöhnliche Gedanken haben, verfügen können."
"5","2011-10-06","internetbasiert","Das Lebende lebendiger werden lassen. futurestrategy.de, 2011-10-06","http://www.futurestrategy.de/2011/10/06/das-lebende-lebendiger-werden-lassen/","Dürr gilt als einer der bedeutendsten Querdenker unserer Zeit und Impulsgeber der internationalen Umwelt- und Friedensbewegung."
"6","2010-05-19","internetbasiert","MM046 Liebe ist …. Freak Show, 2010-05-19","http://freakshow.fm/mm046-liebe-ist","Es sind ganz klar keine Querdenker, sondern nur durch den Mainstream angezogene Mitläufer, die wie die 1984 Schafe im Chor den neuen Schäfer anblöken."
"7","2011-01-01","internetbasiert","creative circle - agb. creative-circle.de, 2011-01-01","https://www.creative-circle.de/agb/","Das Quiz für Querdenker"
"8","2012-03-30","internetbasiert","TEDx – Visionen neu gedacht. Daimler_News, 2012-03-30","http://blog.daimler.de/2012/03/30/tedx-stuttgart-2012-visionen-neu-gedacht/","Es ist wichtig, seine Themen nicht nur auf den Webportalen präsent zu halten, sondern man muss über neue Formate, wie zum Beispiel die re:publica nachdenken und dorthin gehen, wo Querdenker und Multiplikatoren sitzen, die reflektieren und getreu dem Motto „ideas worth spreading“ Visionen über die Stadtgrenzen hinaustragen."
"9","2010-05-18","internetbasiert","Suter’s Wahlexpress ist unterwegs. Feldwaldwiesenblog, 2010-05-18","https://feldwaldwiesenblog.ch/2010/05/18/suters-wahlexpress-ist-unterwegs/","Bruno Suter ist wohl ein Querdenker, hat aber sich nicht vor die Schweizer Neutralität abzuschaffen."
"10","2011-04-20","internetbasiert","» BPatG, Beschluss v. 09.02.2011 – 29 W (pat) 208/10–“Löschung der Marke Querdenker wegen fehlender Unterscheidungskraft nach § 8 Abs. 2 Nr. 1 MarkenG”. BPatG, Beschluss v. 09.02.2011 – 29 W (pat) 208/10–“Löschung der Marke Querdenker wegen fehlender Un...","http://www.wmwllp.de/berlinblawg/urteile/markenrecht/bpatg-29-w-pat-208-10/","So sei z. B. bei den Waren “Druckereierzeugnisse” nicht ausschlaggebend, ob die Bezeichnung als Titel dienen könnte für die Themen, die darin niedergelegt seien, sondern, ob das Zeichen “Querdenker” herkunftshinweisend auf diesen Waren verwendet werden könne."
