"No.","Date","Genre","Bibl","URL","Hit"
"1","2012-04-24","internetbasiert","Öl-Wirtschaft des Iran ging nach Attacken offline. Secure One, 2012-04-24","http://www.secure-one.de/cms/ol-wirtschaft-des-iran-ging-nach-attacken-offline/","Unterstützend ließen sie außerdem einen Virus los, der ebenfalls gezielt Rechner der iranischen Ölbranche attackierte, berichtete die Nachrichtenagentur 'AP' unter Berufung auf halboffizielle Stellen im Iran."""
"2","2012-12-21","internetbasiert","Erreger in schleswig-holsteinischer Tierhaltung festgestellt - Just Sylt - Das Sylter Onlinemagazin mit Geheimtipps & Storys. Just Sylt - das Sylter Onlinemagazin, Live Webcams Sylt & Storys, 2012-12-21","https://www.justsylt.de/erreger-in-schleswig-holsteinischer-tierhaltung-festgestellt-32523.html","Wo kommen die Viren vor?"
"3","2011-11-21","internetbasiert","Neues Orthobunyavirus bei Rindern in Deutschland nachgewiesen - AHO Redaktion Grosstiere. AHO Redaktion Grosstiere, 2011-11-21","http://www.animal-health-online.de/gross/2011/11/21/neues-orthobunyavirus-bei-rindern-in-deutschland-nachgewiesen/19070/","Akabane-Virus und ähnliche Viren werden hauptsächlich durch Gnitzen übertragen."
"4","2010-04-06","internetbasiert","Buchtipp: „Virus Auto“ von Hermann Knoflacher. Mobilservice, 2010-04-06","https://www.mobilservice.ch/de/news/news-dossiers/buchtipp-bvirus-autol-von-hermann-knoflacher-272.html","In ""Virus Auto"" analysiert er sowohl für autokritische als auch für autoliebende Leser facettenreich unsere autovernarrte Gesellschaft und erzählt Neues, Interessantes und Amüsantes."
"5","2012-08-06","internetbasiert","Influenzaforscherin Gülsah Gabriel erhält Robert-Koch-Förderpreis. RHEUMA ASPEKTE, 2012-08-06","http://rheuma-aspekte.de/influenzaforscherin-guelsah-gabriel-erhaelt-robert-koch-foerderpreis_30317/","Ihr besonderes Interesse gilt der Untersuchung der Influenza A Viren, die weltweit für schwere Infektionskrankheiten verantwortlich sind."
"6","2010-06-02","internetbasiert","Probleme mit dem PC? Im Internet hilft man sich gegenseitig!. MyHammer Blog für Handwerker, 2010-06-02","http://news.my-hammer.de/news/02961-probleme-mit-dem-pc-im-internet-hilft-man-sich-gegenseitig.html","Probleme mit dem Internetzugang, Viren, Trojaner der Hardwareschäden – Computer können aus vielen Gründen ihren Dienst versagen."
"7","2012-09-17","internetbasiert","Todesfälle nach Hantavirus-Infektionen im Yosemite-Nationalpark. MEDIZIN ASPEKTE, 2012-09-17","http://medizin-aspekte.de/todesfaelle-nach-hantavirus-infektionen-im-yosemite-nationalpark_31608/","Die Nager scheiden das Virus in ihrem Urin, Kot und Speichel aus."
"8","2011-01-25","internetbasiert","Graduiertenkolleg zur Infektionsforschung an der Universität Münster wird fortgeführt. Onkologie Aspekte, 2011-01-25","http://onkologie-aspekte.de/graduiertenkolleg-zur-infektionsforschung-an-der-universitaet-muenster-wird-fortgefuehrt-_13677/","Was passiert im menschlichen Körper, wenn Bakterien, Viren oder Pilze über die Haut und die Schleimhäute in ihn eindringen?"
"9","2011-07-20","internetbasiert","Fachzeitung Produktion zu IT-Sicherheitsmängeln in der Fertigung. TeDaMo - Telefon | Daten | Mobilfunk, 2011-07-20","https://www.tedamo.de/telekommunikation/fachzeitung-produktion-zu-it-sicherheitsmangeln-in-der-fertigung/","Als “offen wie ein Scheunentor für Angriffe durch Hacker oder Viren” bezeichnen Anwender die gängigen Automatisierungsgeräte."
"10","2012-03-13","internetbasiert","Bei Tina Sandler exklusiv die „Rio de Coco – Produktserie“. Tina Sandler, 2012-03-13","https://tinasandler.wordpress.com/2012/03/13/bei-tina-sandler-exklusiv-die-rio-de-coco-produktserie/","Sie haben die Eigenschaft Viren, Bakterien und Pilze abzuwehren."
"11","2011-03-01","internetbasiert",".. besserlaengerleben.at, 2011-03-01","http://www.besserlaengerleben.at/gesund-und-fit/zink-lindert-schnupfen-symptome.html","Zink umschließt Viren"
"12","2011-06-16","internetbasiert","EHEC-Erkrankungswelle kein Bioterroranschlag. Terrorschutzamt - Nachrichtenjournal über Terrorismus in Deutschland, 2011-06-16","http://www.terrorschutzamt.com/aktuelle-meldungen/ehec-erkrankungswelle-kein-bioterroranschlag.html","Ferner sieht das BKA derzeit keine Gefahr von Terrorangriffen mit Bakterien, Viren oder Gift."
"13","2011-04-13","internetbasiert","Werkstattpauschale in Trier: Virenentfernung | PC-Spezialist Trier. PC-Spezialist Trier, 2011-04-13","http://www.pc-spezialist-trier.de/werkstattpauschale-in-trier-virenentfernung/","Viren- und Spywareentfernung Nicht alle Viren lassen sich mit herkömmlichen Virenprogrammen entfernen."
"14","2010-08-02","internetbasiert","Michael Tietz, Rattentanz. Bücherstadt, 2010-08-02","https://buecherstadt.wordpress.com/2010/08/02/michael-tietz-rattentanz/","Bis zu diesem Zeitpunkt breitet sich der Virus über die ganze Welt aus."
"15","2012-10-31","internetbasiert","Frosch im Hals - ernst oder harmlos? - Regenbogen Apotheke Koblenz. Regenbogen Apotheke Koblenz, 2012-10-31","https://regenbogenapotheke.de/2012/10/frosch-im-hals-ernst-oder-harmlos/","Gegen die Viren ist kein Kraut gewachsen, aber mit diversen Mitteln lassen sich zumindest die Symptome mildern."
"16","2012-02-04","internetbasiert","Virus auf Deviantart! BITTE LESEN!. MondClan, 2012-02-04","https://mondclanforum.forumieren.com/t356-virus-auf-deviantart-bitte-lesen","ich war gestern auf devi aber der virus hat mich zum glück verschont!! also ich werde devi erstmal missen müssen weil ich hab keinen bock den virus acuh zu haben... es muss wohl ein ziemlich moderner virus sein wenn das virenschutzprogramm den nicht stoppen kann...müssen wohl profis am werk gewesen sein!"
