"No.","Date","Genre","Bibl","URL","Hit"
"1","2012-12-31","internetbasiert","2012 im Überblick!. Wordpressdotcom, 2012-12-31","https://curtisnike.com/2012/12/31/2012-im-uberblick/","2012 im Überblick!"
"2","2012-12-31","internetbasiert","Fragebogen 2012. Küstenkind, 2012-12-31","https://kuestenkind84.wordpress.com/2012/12/31/fragebogen-2012/","Umzug, Farbe, Laminat, Teppiche und das langersehnte große Bett mit supertollen Matratzen!"
"3","2012-12-31","internetbasiert","Fragebogen 2012. Küstenkind, 2012-12-31","https://kuestenkind84.wordpress.com/2012/12/31/fragebogen-2012/","Dafür gehts 2013 zu Seeed!"
"4","2012-12-31","internetbasiert","Fragebogen 2012. Küstenkind, 2012-12-31","https://kuestenkind84.wordpress.com/2012/12/31/fragebogen-2012/","Ja, es kann!"
"5","2012-12-31","internetbasiert","Fragebogen 2012. Küstenkind, 2012-12-31","https://kuestenkind84.wordpress.com/2012/12/31/fragebogen-2012/","Wir schaffen das!"
"6","2012-12-31","internetbasiert","Fragebogen 2012. Küstenkind, 2012-12-31","https://kuestenkind84.wordpress.com/2012/12/31/fragebogen-2012/","Ich bin froh, dass ich dich hab!"
"7","2012-12-31","internetbasiert","Neuigkeiten. sing-a-lullaby.forumieren.com, 2012-12-31","http://sing-a-lullaby.forumieren.com/t70-neuigkeiten","Hallo liebe User!"
"8","2012-12-31","internetbasiert","Neuigkeiten. sing-a-lullaby.forumieren.com, 2012-12-31","http://sing-a-lullaby.forumieren.com/t70-neuigkeiten","Userprofil erfreuen, ich hoffe euch gefallen die Neuigkeiten!"
"9","2012-12-31","internetbasiert","2013. Mikas Corner, 2012-12-31","https://mikascorner.wordpress.com/2012/12/31/2013/","Dir wünsche ich auch ein frohes neues Jahr!"
"10","2012-12-31","internetbasiert","2013. Mikas Corner, 2012-12-31","https://mikascorner.wordpress.com/2012/12/31/2013/","Vielen Dank, ihr Lieben!"
"11","2012-12-31","internetbasiert","2013. Mikas Corner, 2012-12-31","https://mikascorner.wordpress.com/2012/12/31/2013/","Für euch auch die allerbesten Wünsche!"
"12","2012-12-31","internetbasiert","Geseke-News.de. Geseke-News.de wünscht einen guten Rutsch!, 2012-12-31","http://www.geseke-news.de/?p=8175","Geseke-News.de wünscht einen guten Rutsch!"
"13","2012-12-31","internetbasiert","Geseke-News.de. Geseke-News.de wünscht einen guten Rutsch!, 2012-12-31","http://www.geseke-news.de/?p=8175","Bleiben Sie uns auch im neuen Jahr mit Kritik und Interesse gewogen!"
"14","2012-12-31","internetbasiert","Berliner Luft III Was gibt es noch zu entdecken?. Cafegaenger, 2012-12-31","https://cafegaenger.wordpress.com/2012/12/31/berliner-luft-iii/","Was für ein Jahr!"
"15","2012-12-31","internetbasiert","Berliner Luft III Was gibt es noch zu entdecken?. Cafegaenger, 2012-12-31","https://cafegaenger.wordpress.com/2012/12/31/berliner-luft-iii/","“Kauft Leute!”"
"16","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Frohe Weihnachten!"
"17","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Also rundum ein echt toller Sandstrand zu dem sich eine Reise immer wieder lohnt!"
"18","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Nach dem Höhenflug ging es in die Tiefe, zumindest zum Abgrund!"
"19","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Heiko zur Folge “muss man sein Gehirn zu Hause lassen” um dort abzusteigen!"
"20","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Bei uns war es definitiv so, v.a. weil wir auch hier zusammen mit der Familie Rogers waren (inkl. Melody und ihrem Bekannten Andrew aus den USA)!"
"21","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Der Geschmack war toll!"
"22","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Das “Highlight” des Tages kam dann anschließend!"
"23","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","So haben wir noch nie Weihnachten gefeiert!"
"24","2012-12-31","internetbasiert","I'm dreaming of a hot christmas. Heihipo'S Blog, 2012-12-31","https://hiketothelighthousewithpolzandheiko.wordpress.com/2012/12/31/im-dreaming-of-a-hot-christmas/","Das wird bestimmt im neuen Jahr geschehen und deshalb wünschen wir all unseren Lesern auch auf diesem Weg einen guten Rutsch in das Jahr 2013!"
"25","2012-12-31","internetbasiert","Happy New Year!. Radio Dunkle Welle | Livestream aus dem Internet, 2012-12-31","https://www.dunklewelle.de/2012/12/happy-new-year-3/","Das Team Happy New Year!"
"26","2012-12-31","internetbasiert","2012 und nun 2013.... erich's sportblog..., 2012-12-31","http://erichssportblog.com/2012/12/31/2012-und-nun-2013/","Der erste Saisonhöhepunkt wird bestimmt die Four Peaks Tour 2013!"
"27","2012-12-31","internetbasiert","2012 und nun 2013.... erich's sportblog..., 2012-12-31","http://erichssportblog.com/2012/12/31/2012-und-nun-2013/","Euch allen einen guten Rutsch in ein erfolgreiches, gesundes und glückliches 2013 !! Vielen Dank auch für die zahlreichen Glückwünsche zu meinem Geburtstag!"
"28","2012-12-31","internetbasiert","2012 und nun 2013.... erich's sportblog..., 2012-12-31","http://erichssportblog.com/2012/12/31/2012-und-nun-2013/","Ich wünsche für das nächste Jahr alles Gute und insbesondere beschwerdefreie Sporteinheiten!"
"29","2012-12-31","internetbasiert","Vorsätze.. Moppilina, 2012-12-31","https://moppilina.wordpress.com/2012/12/31/vorsatze/","7. Und ganz wichtig: MEHR TRINKEN! Das funktionierte in den letzten Monaten überhaupt nicht mehr."
"30","2012-12-31","internetbasiert","Vorsätze.. Moppilina, 2012-12-31","https://moppilina.wordpress.com/2012/12/31/vorsatze/","Dir auch einen guten Rutsch! :-D"
"31","2012-12-31","internetbasiert","Vorsätze.. Moppilina, 2012-12-31","https://moppilina.wordpress.com/2012/12/31/vorsatze/","Rutsch fein!"
"32","2012-12-31","internetbasiert","Vorsätze.. Moppilina, 2012-12-31","https://moppilina.wordpress.com/2012/12/31/vorsatze/","Wünsche Dir einen guten Start in 2013 und drück Dir die Daumen für Deine Vorsätze!"
"33","2012-12-31","internetbasiert","Vorsätze.. Moppilina, 2012-12-31","https://moppilina.wordpress.com/2012/12/31/vorsatze/","Ich habe gerade nochmal deine beeindruckende Gewichtsstatistik angesehen…. ohne Scheiss: einfach nur WOW und ganz viel Respekt!"
"34","2012-12-31","internetbasiert","Vorsätze.. Moppilina, 2012-12-31","https://moppilina.wordpress.com/2012/12/31/vorsatze/","Finde ich voll cool, dass du da so positiv dran gehst und dich auch noch darauf freust!"
"35","2012-12-31","internetbasiert","2012 in review. Moppilina, 2012-12-31","https://moppilina.wordpress.com/2012/12/31/2012-in-review/","Danke für so viele Besuche und noch viel mehr DANKE für Eure Kommentare!"
"36","2012-12-31","internetbasiert","Lohnt sich die Rentenversicherungspflicht für Minijobber?. 2015 Steuerberaterin Gräber Berlin Mitte, 2012-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/dw20130304.htm","Wir helfen Ihnen gerne!"
"37","2012-12-31","internetbasiert","Sozialversicherung - Studenten als Praktikanten. 2015 Steuerberaterin Gräber Berlin Mitte, 2012-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20000905.htm","Wir helfen Ihnen gerne!"
"38","2012-12-31","internetbasiert","Sozialversicherung - Studenten als Praktikanten. 2015 Steuerberaterin Gräber Berlin Mitte, 2012-12-31","https://www.steuerberaterin-berlin.com/steuerdatenbank/de20000905.htm","Wir helfen Ihnen gerne!"
"39","2012-12-31","internetbasiert","WoManBeginnt... Sauer nicht mehr lustig zu finden.. WoManBeginnt, 2012-12-31","https://womanbeginnt.wordpress.com/2012/12/31/womanbeginnt-sauer-nicht-mehr-lustig-zu-finden/","Nachdenken ist jetzt angesagt!"
