"No.","Date","Genre","Bibl","URL","Hit"
"1","2012-12-31","internetbasiert","Neuigkeiten. sing-a-lullaby.forumieren.com, 2012-12-31","http://sing-a-lullaby.forumieren.com/t70-neuigkeiten","In Camelot versammeln sich Ritter, Adelige und Schaulustige aus aller Gegend, um am großen Turnier Prinz Arthurs Geburtstag teilzunehmen, doch der Prinz ist verschwunden und die Feierlichkeiten pausieren, bis er gefunden wird.So mancher soll ihn in zerlumpten Kleidern gesehen zu haben, aber kann man dem Dorfgeschwätz glauben?"
"2","2012-12-31","internetbasiert","Berliner Luft III Was gibt es noch zu entdecken?. Cafegaenger, 2012-12-31","https://cafegaenger.wordpress.com/2012/12/31/berliner-luft-iii/","Manche nennen das Beteiligungsgesellschaft, andere Sponsering."
"3","2012-12-31","internetbasiert","“Fansein braucht den Funken” | Sturm12.atSturm12.at. Sturm12.at, 2012-12-31","http://sturm12.at/2012/12/31/kollegin-m-fansein-braucht-den-funken/","Manche dachten, dass sie dadurch ein wenig mehr ins Licht der Fußballöffentlichkeit treten würde."
"4","2012-12-31","internetbasiert","“Fansein braucht den Funken” | Sturm12.atSturm12.at. Sturm12.at, 2012-12-31","http://sturm12.at/2012/12/31/kollegin-m-fansein-braucht-den-funken/","Bei manchen Kommentaren fühle ich mich an folgenden Werbespot erinnert: http://www.youtube.com/watch?v=skY4nddl5q0"
"5","2012-12-31","internetbasiert","Der erste Hund – Teil 9: Gesundheit und Wohlbefinden. hund-erklaert.de, 2012-12-31","https://www.hund-erklaert.de/2012/12/31/der-erste-hund-teil-9-gesundheit-und-wohlbefinden/","So mancher Mensch schlägt alle Ratschläge in den Wind, ernährt sich ungesund und wankt ungeimpft und ungeschützt durchs Leben."
"6","2012-12-31","internetbasiert","Rückschau. Vieleineinerhuelle, 2012-12-31","https://vieleineinerhuelle.wordpress.com/2012/12/31/ruckschau/","Manches was so geplant und damit vorhersehbar war und eben auch so eingetreten ist."
"7","2012-12-31","internetbasiert","Rückschau. Vieleineinerhuelle, 2012-12-31","https://vieleineinerhuelle.wordpress.com/2012/12/31/ruckschau/","Manch anderes, was nicht zu erahnen war und mich manches Mal umgehauen hat."
"8","2012-12-31","internetbasiert","Neujahrsgrüße - Seite 3. libertalia.forumieren.com, 2012-12-31","https://libertalia.forumieren.com/t111p50-neujahrsgrusse","Mit seiner selbst erklärten Schnusseligkeit lebt er gut und hat es wohl im Leben leichter als manche andere."
"9","2012-12-31","internetbasiert","Neujahrsgrüße - Seite 3. libertalia.forumieren.com, 2012-12-31","https://libertalia.forumieren.com/t111p50-neujahrsgrusse","Mit seiner selbst erklärten Schnusseligkeit lebt er gut und hat es wohl im Leben leichter als manche andere."
"10","2012-12-31","internetbasiert","Neujahrsgrüße - Seite 3. libertalia.forumieren.com, 2012-12-31","https://libertalia.forumieren.com/t111p50-neujahrsgrusse","Ich hatte schon ziemlich früh im alten web.de Ratgeber gemerkt, dass manche User versuchten die Identität hinter den Nicks zu knacken."
"11","2012-12-31","internetbasiert","Neujahrsgrüße - Seite 3. libertalia.forumieren.com, 2012-12-31","https://libertalia.forumieren.com/t111p50-neujahrsgrusse","Ich hatte schon ziemlich früh im alten web.de Ratgeber gemerkt, dass manche User versuchten die Identität hinter den Nicks zu knacken."
"12","2012-12-31","internetbasiert","Neujahrsgrüße - Seite 3. libertalia.forumieren.com, 2012-12-31","https://libertalia.forumieren.com/t111p50-neujahrsgrusse","Deine Recherchen im Teil IV zum Realitätsbezug von Mollath´s Schreiben, die vor allem einer Wahnhaftigkeit in den Schreiben von Mollath widersprechen, haben mir besonders gut gefallen! (auch wenn ich in manchen anderen/sehr wenigen Punkten anderer Meinung bin)."
"13","2012-12-31","internetbasiert","Neujahrsgrüße - Seite 3. libertalia.forumieren.com, 2012-12-31","https://libertalia.forumieren.com/t111p50-neujahrsgrusse","Deine Recherchen im Teil IV zum Realitätsbezug von Mollath´s Schreiben, die vor allem einer Wahnhaftigkeit in den Schreiben von Mollath widersprechen, haben mir besonders gut gefallen! (auch wenn ich in manchen anderen/sehr wenigen Punkten anderer Meinung bin)."
"14","2012-12-31","internetbasiert","Hirnforschung. Aufwind2012 - Soli Deo Gloria!, 2012-12-31","https://aufwind2012.wordpress.com/2012/12/31/hirnforschung/","Etliche Ergebnisse der Hirnforschung kann man auch als Audio-Beitrag oder Youtube-Video ansehen und manches dabei neu lernen."
"15","2012-12-31","internetbasiert","31.12.2012. Dornreich, 2012-12-31","https://dornreich.wordpress.com/2012/12/31/31-12-2012/","Dieses besondere und magische Jahr hat manchen, scheinbar schönen Schein entzaubert und dahinter den hässlichen Bastard der Realität – ungeschminkt und unverblümt – ans Licht gezerrt."
"16","2012-12-31","internetbasiert","Der Gentleman mit der Feuerhand. The Crow & The Butterfly, 2012-12-31","https://thecrowthebutterfly.wordpress.com/2012/12/31/der-gentleman-mit-der-feuerhand/","An manchen Stellen erfahren wir etwas mehr als Stephanie und Skulduggery, über den Gegenspieler zum Beispiel lernen wir mehr als die beiden, zumindest früher."
"17","2012-12-31","internetbasiert","Wie werde ich wahrhaftig glücklicher?. LebeBlog, 2012-12-31","https://www.lebeblog.de/wie-werde-ich-gluecklicher/","Manche Menschen versuchen vor diesen Zuständen mit Süchten zu flüchten, jedoch funktioniert das nur so lange, wie der Rausch anhält."
"18","2012-12-31","internetbasiert","Wie werde ich wahrhaftig glücklicher?. LebeBlog, 2012-12-31","https://www.lebeblog.de/wie-werde-ich-gluecklicher/","Auch wenn manche Menschen die 13 als eine „Unglückszahl“ sehen, so ist sie in Wahrheit eine Glückszahl."
"19","2012-12-31","internetbasiert","Wie werde ich wahrhaftig glücklicher?. LebeBlog, 2012-12-31","https://www.lebeblog.de/wie-werde-ich-gluecklicher/","Manche Menschen versuchen vor diesen Zuständen mit Süchten zu flüchten, jedoch funktioniert das nur so lange, wie der Rausch anhält."
"20","2012-12-31","internetbasiert","Wie werde ich wahrhaftig glücklicher?. LebeBlog, 2012-12-31","https://www.lebeblog.de/wie-werde-ich-gluecklicher/","Auch wenn manche Menschen die 13 als eine „Unglückszahl“ sehen, so ist sie in Wahrheit eine Glückszahl."
"21","2012-12-31","internetbasiert","Einfach nur Silvester 2013. Meine Gedanken in Worten, 2012-12-31","https://sunset007.wordpress.com/2012/12/31/einfach-nur-silvester-2013/","Doch eben dies soll um manches wirkungsvoller sein, als sich viel zu abstrakte Ziele zu setzen."
"22","2012-12-31","internetbasiert","Gesellschaftliche Ansprüche. Die Amy bloggt, 2012-12-31","https://dieamy.wordpress.com/2012/12/31/gesellschaftliche-anspruche/","Und wie “aus Versehen” sind manche Menschen dabei dann auch noch glücklich."
"23","2012-12-31","internetbasiert","Spes Viva: sich den Geist der Weihnacht das ganze Jahr über bewahren. Da Hog’n – Onlinemagazin ausm Woid, 2012-12-31","https://www.hogn.de/2012/12/31/1-da-hogn-geht-um/out-of-da-woid/spes-viva-hilfswerk-verein-kongo-hilfe-spatschek-ozankom-scharringer-caritas-spesviva/15589","Trotz mancher Bedenken und auch gelegentlich ganz konkreter Angst in brenzlichen Situationen überwiegt letztlich doch immer wieder die Solidarität und selbstgewählte Verpflichtung, durch ganz konkrete, kleine Schritte zu helfen, die Lebenssituation der Menschen im Kongo zu verbessern."
"24","2012-12-31","internetbasiert","Spes Viva: sich den Geist der Weihnacht das ganze Jahr über bewahren. Da Hog’n – Onlinemagazin ausm Woid, 2012-12-31","https://www.hogn.de/2012/12/31/1-da-hogn-geht-um/out-of-da-woid/spes-viva-hilfswerk-verein-kongo-hilfe-spatschek-ozankom-scharringer-caritas-spesviva/15589","In der Kinderklinik in Laba Impini ist dank der Hilfe von Spes Viva schon so manches „Christkind“ an einem 24.12. zur Welt gekommen."
