epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6530151986300481,0.6374075403591981,False,0.7342333187980037,0.7599023297708731,8
2,0 days,0.6493774549824708,0.6679784814912365,False,0.7281102765631932,0.6978038250601004,8
3,0 days,0.6556978492774773,0.6871806345319205,False,0.7288387565202611,0.6707321917563277,8
4,0 days,0.6623072608412326,0.6997195070177731,False,0.7240054806073507,0.6479344902505184,8
5,0 days,0.670088713571932,0.7136091653383091,False,0.7210672145248741,0.6207489438414894,8
6,0 days,0.8397671931870335,0.8409861882897486,False,0.35556973829384775,0.34977230663041037,8
7,0 days,0.8421685674701708,0.8576818526795608,False,0.3421278543049289,0.3132387667475455,8
8,0 days,0.8388957955994494,0.8683493743946752,False,0.34394407620833767,0.29319279802491865,8
9,0 days,0.8658760115227363,0.8754992627026857,False,0.3073135714136785,0.27608339976235086,8
10,0 days,0.8551249076362707,0.8831530093196781,False,0.3055383137637569,0.26029665301363153,8
