epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6625481697022968,0.6537915349681922,False,0.6990068205582198,0.7272381593171138,8
2,0 days,0.6768227461053182,0.6925354007418479,False,0.6651931087816915,0.6642884353210715,8
3,0 days,0.699411583709986,0.7136398277156144,False,0.6454481620301482,0.628073727317534,8
4,0 days,0.6833231789924377,0.7209383360935347,False,0.6733623951353053,0.6045630501518301,8
5,0 days,0.6768955100958454,0.736045544849907,False,0.6885038184863265,0.5756388366541978,8
6,0 days,0.8129284806361096,0.7944750796880742,False,0.39361018020855754,0.4290711081733829,8
7,0 days,0.8268771485026513,0.8298965522194955,False,0.372820634590952,0.37326034334929364,8
8,0 days,0.8463777972549902,0.8431594507265421,False,0.34835029641787213,0.34434618624417407,8
9,0 days,0.8534656058144034,0.8497833327143697,False,0.3392147372166316,0.3272279957799535,8
10,0 days,0.8497591592613217,0.8627542994809313,False,0.3511459202620021,0.3070062316562,8
